"country","year","infant_mortality"
"Mali",1974,184.8
"Malta",1974,20.1
"Mauritania",1974,106.1
"Mauritius",1974,54.5
"Mexico",1974,68.5
"Micronesia, Fed. Sts.",1974,NA
"Moldova",1974,46.1
"Mongolia",1974,NA
"Montenegro",1974,NA
"Morocco",1974,112.4
"Mozambique",1974,179
"Namibia",1974,63.3
"Nepal",1974,163.6
"Netherlands",1974,10.9
"New Caledonia",1974,NA
"New Zealand",1974,15.4
"Nicaragua",1974,104.2
"Niger",1974,141.8
"Nigeria",1974,149.2
"Norway",1974,11
"Oman",1974,121.2
"Pakistan",1974,131.2
"Panama",1974,43.5
"Papua New Guinea",1974,89.2
"Paraguay",1974,55.3
"Peru",1974,93.3
"Philippines",1974,54.4
"Poland",1974,25.4
"Portugal",1974,39.4
"Puerto Rico",1974,NA
"Qatar",1974,39.9
"Romania",1974,44.8
"Russia",1974,30.8
"Rwanda",1974,141.1
"St. Lucia",1974,39.8
"St. Vincent and the Grenadines",1974,60.1
"Samoa",1974,NA
"Saudi Arabia",1974,98.5
"Senegal",1974,111.5
"Serbia",1974,NA
"Seychelles",1974,42.8
"Sierra Leone",1974,180
"Singapore",1974,16
"Slovak Republic",1974,NA
"Slovenia",1974,NA
"Solomon Islands",1974,58.7
"South Africa",1974,91.1
"Spain",1974,20
"Sri Lanka",1974,50
"Sudan",1974,92
"Suriname",1974,NA
"Swaziland",1974,105.8
"Sweden",1974,9.2
"Switzerland",1974,12
"Syria",1974,62
"Tajikistan",1974,109.4
"Tanzania",1974,120.2
"Thailand",1974,60.2
"Timor-Leste",1974,NA
"Togo",1974,121.8
"Tonga",1974,31.9
"Trinidad and Tobago",1974,40.4
"Tunisia",1974,99.9
"Turkey",1974,112.4
"Turkmenistan",1974,NA
"Uganda",1974,116.3
"Ukraine",1974,25.5
"United Arab Emirates",1974,50.2
"United Kingdom",1974,16
"United States",1974,16.7
"Uruguay",1974,49.3
"Uzbekistan",1974,NA
"Vanuatu",1974,66.9
"Venezuela",1974,42.9
"West Bank and Gaza",1974,NA
"Vietnam",1974,52.8
"Yemen",1974,189
"Zambia",1974,98.1
"Zimbabwe",1974,70.5
"Albania",1975,63.1
"Algeria",1975,128.7
"Angola",1975,NA
"Antigua and Barbuda",1975,NA
"Argentina",1975,53.2
"Armenia",1975,NA
"Aruba",1975,NA
"Australia",1975,14.4
"Austria",1975,19.8
"Azerbaijan",1975,NA
"Bahamas",1975,27.2
"Bahrain",1975,37.7
"Bangladesh",1975,145.2
"Barbados",1975,31.8
"Belarus",1975,NA
"Belgium",1975,15.8
"Belize",1975,59.2
"Benin",1975,143.5
"Bhutan",1975,157.1
"Bolivia",1975,127.9
"Bosnia and Herzegovina",1975,NA
"Botswana",1975,69.5
"Brazil",1975,89.8
"Brunei",1975,NA
"Bulgaria",1975,29.8
"Burkina Faso",1975,136.6
"Burundi",1975,145.7
"Cambodia",1975,178.2
"Cameroon",1975,114.3
"Canada",1975,14.2
"Cape Verde",1975,78
"Central African Republic",1975,126
"Chad",1975,130
"Chile",1975,55.3
"China",1975,62.6
"Colombia",1975,58.4
"Comoros",1975,136.2
"Congo, Dem. Rep.",1975,140.7
"Congo, Rep.",1975,79.2
"Costa Rica",1975,38
"Cote d'Ivoire",1975,135.1
"Croatia",1975,NA
"Cuba",1975,24.7
"Cyprus",1975,NA
"Czech Republic",1975,NA
"Denmark",1975,10.3
"Djibouti",1975,NA
"Dominican Republic",1975,74.9
"Ecuador",1975,82.5
"Egypt",1975,143.7
"El Salvador",1975,95.6
"Equatorial Guinea",1975,NA
"Eritrea",1975,123.9
"Estonia",1975,NA
"Ethiopia",1975,142.7
"Fiji",1975,41.4
"Finland",1975,10
"France",1975,12.4
"French Polynesia",1975,NA
"Gabon",1975,NA
"Gambia",1975,114.4
"Georgia",1975,56.6
"Germany",1975,17.7
"Ghana",1975,111.5
"Greece",1975,28.5
"Greenland",1975,NA
"Grenada",1975,NA
"Guatemala",1975,102.9
"Guinea",1975,184.5
"Guinea-Bissau",1975,NA
"Guyana",1975,54.6
"Haiti",1975,146
"Honduras",1975,85
"Hong Kong, China",1975,NA
"Hungary",1975,35.8
"Iceland",1975,10.3
"India",1975,130.3
"Indonesia",1975,97.8
"Iran",1975,105.8
"Iraq",1975,66.2
"Ireland",1975,17
"Israel",1975,22.4
"Italy",1975,20.5
"Jamaica",1975,37.8
"Japan",1975,10
"Jordan",1975,53.3
"Kazakhstan",1975,63.4
"Kenya",1975,80.7
"Kiribati",1975,88.5
"South Korea",1975,22.8
"Kuwait",1975,40.5
"Kyrgyz Republic",1975,87.9
"Lao",1975,134
"Latvia",1975,NA
"Lebanon",1975,45.4
"Lesotho",1975,114.6
"Liberia",1975,174.2
"Libya",1975,72.8
"Lithuania",1975,20.2
"Luxembourg",1975,14.2
"Macao, China",1975,NA
"Macedonia, FYR",1975,NA
"Madagascar",1975,99.5
"Malawi",1975,184
"Malaysia",1975,34.2
"Maldives",1975,137.2
"Mali",1975,180.9
"Malta",1975,19
"Mauritania",1975,105.1
"Mauritius",1975,49.6
"Mexico",1975,66.6
"Micronesia, Fed. Sts.",1975,NA
"Moldova",1975,44.9
"Mongolia",1975,NA
"Montenegro",1975,NA
"Morocco",1975,109.9
"Mozambique",1975,178
"Namibia",1975,63.4
"Nepal",1975,159.9
"Netherlands",1975,10.5
"New Caledonia",1975,NA
"New Zealand",1975,14.9
"Nicaragua",1975,100.3
"Niger",1975,141.4
"Nigeria",1975,144.4
"Norway",1975,10.5
"Oman",1975,114.2
"Pakistan",1975,129.4
"Panama",1975,41.8
"Papua New Guinea",1975,86.9
"Paraguay",1975,54.5
"Peru",1975,91
"Philippines",1975,54.4
"Poland",1975,24.5
"Portugal",1975,36
"Puerto Rico",1975,NA
"Qatar",1975,37.7
"Romania",1975,42.8
"Russia",1975,29.9
"Rwanda",1975,144.8
"St. Lucia",1975,36.3
"St. Vincent and the Grenadines",1975,59
"Samoa",1975,NA
"Saudi Arabia",1975,93.1
"Senegal",1975,108
"Serbia",1975,NA
"Seychelles",1975,39.7
"Sierra Leone",1975,177.5
"Singapore",1975,14.3
"Slovak Republic",1975,NA
"Slovenia",1975,NA
"Solomon Islands",1975,55.1
"South Africa",1975,86.6
"Spain",1975,20.4
"Sri Lanka",1975,48.7
"Sudan",1975,91.3
"Suriname",1975,NA
"Swaziland",1975,101.6
"Sweden",1975,8.7
"Switzerland",1975,11.2
"Syria",1975,59.1
"Tajikistan",1975,106.7
"Tanzania",1975,118.2
"Thailand",1975,57.6
"Timor-Leste",1975,NA
"Togo",1975,119.2
"Tonga",1975,30.4
"Trinidad and Tobago",1975,39.5
"Tunisia",1975,94.2
"Turkey",1975,108.8
"Turkmenistan",1975,NA
"Uganda",1975,118.4
"Ukraine",1975,25
"United Arab Emirates",1975,45.9
"United Kingdom",1975,15.4
"United States",1975,16
"Uruguay",1975,49.4
"Uzbekistan",1975,NA
"Vanuatu",1975,64.6
"Venezuela",1975,41.7
"West Bank and Gaza",1975,78
"Vietnam",1975,51.8
"Yemen",1975,181.2
"Zambia",1975,96.3
"Zimbabwe",1975,70.3
"Albania",1976,60.8
"Algeria",1976,124
"Angola",1976,NA
"Antigua and Barbuda",1976,NA
"Argentina",1976,50.5
"Armenia",1976,70.8
"Aruba",1976,NA
"Australia",1976,13.5
"Austria",1976,18.1
"Azerbaijan",1976,NA
"Bahamas",1976,26.9
"Bahrain",1976,35
"Bangladesh",1976,143.5
"Barbados",1976,30
"Belarus",1976,NA
"Belgium",1976,14.9
"Belize",1976,57.3
"Benin",1976,140.1
"Bhutan",1976,152.4
"Bolivia",1976,124.5
"Bosnia and Herzegovina",1976,NA
"Botswana",1976,66.3
"Brazil",1976,87.3
"Brunei",1976,NA
"Bulgaria",1976,29
"Burkina Faso",1976,131.9
"Burundi",1976,144.8
"Cambodia",1976,166.4
"Cameroon",1976,114.2
"Canada",1976,13.3
"Cape Verde",1976,73.3
"Central African Republic",1976,124.2
"Chad",1976,129.4
"Chile",1976,48.8
"China",1976,59.1
"Colombia",1976,55.6
"Comoros",1976,133
"Congo, Dem. Rep.",1976,138.9
"Congo, Rep.",1976,77.6
"Costa Rica",1976,33.2
"Cote d'Ivoire",1976,129.7
"Croatia",1976,NA
"Cuba",1976,23.1
"Cyprus",1976,NA
"Czech Republic",1976,NA
"Denmark",1976,9.7
"Djibouti",1976,131
"Dominican Republic",1976,72.6
"Ecuador",1976,79.5
"Egypt",1976,138
"El Salvador",1976,92.7
"Equatorial Guinea",1976,NA
"Eritrea",1976,121.6
"Estonia",1976,NA
"Ethiopia",1976,143.1
"Fiji",1976,40.6
"Finland",1976,9.4
"France",1976,12
"French Polynesia",1976,NA
"Gabon",1976,NA
"Gambia",1976,112.1
"Georgia",1976,55
"Germany",1976,16.5
"Ghana",1976,108.7
"Greece",1976,27.3
"Greenland",1976,NA
"Grenada",1976,NA
"Guatemala",1976,99.9
"Guinea",1976,181.9
"Guinea-Bissau",1976,136.3
"Guyana",1976,54.4
"Haiti",1976,142.6
"Honduras",1976,81.7
"Hong Kong, China",1976,NA
"Hungary",1976,32.5
"Iceland",1976,9.8
"India",1976,127.2
"Indonesia",1976,95.1
"Iran",1976,100.5
"Iraq",1976,63.6
"Ireland",1976,16.2
"Israel",1976,20.3
"Italy",1976,18.7
"Jamaica",1976,36.7
"Japan",1976,9.4
"Jordan",1976,51.2
"Kazakhstan",1976,62.4
"Kenya",1976,78.4
"Kiribati",1976,87.7
"South Korea",1976,19.9
"Kuwait",1976,38.2
"Kyrgyz Republic",1976,86.1
"Lao",1976,132.6
"Latvia",1976,NA
"Lebanon",1976,44.6
"Lesotho",1976,110.4
"Liberia",1976,171.3
"Libya",1976,69
"Lithuania",1976,20.1
"Luxembourg",1976,13.4
"Macao, China",1976,NA
"Macedonia, FYR",1976,NA
"Madagascar",1976,100.8
"Malawi",1976,177.5
"Malaysia",1976,32.4
"Maldives",1976,130.3
"Mali",1976,176.9
"Malta",1976,17.9
"Mauritania",1976,103.6
"Mauritius",1976,44.1
"Mexico",1976,64.7
"Micronesia, Fed. Sts.",1976,NA
"Moldova",1976,43.8
"Mongolia",1976,NA
"Montenegro",1976,NA
"Morocco",1976,107.1
"Mozambique",1976,177.2
"Namibia",1976,63.6
"Nepal",1976,156.2
"Netherlands",1976,10.1
"New Caledonia",1976,NA
"New Zealand",1976,14.4
"Nicaragua",1976,95.9
"Niger",1976,140.5
"Nigeria",1976,139.9
"Norway",1976,9.9
"Oman",1976,107.1
"Pakistan",1976,127.7
"Panama",1976,40.3
"Papua New Guinea",1976,84.6
"Paraguay",1976,53.6
"Peru",1976,88.9
"Philippines",1976,54.3
"Poland",1976,23.9
"Portugal",1976,32.7
"Puerto Rico",1976,NA
"Qatar",1976,35.8
"Romania",1976,41
"Russia",1976,29.2
"Rwanda",1976,147.5
"St. Lucia",1976,33.4
"St. Vincent and the Grenadines",1976,57.3
"Samoa",1976,NA
"Saudi Arabia",1976,88.2
"Senegal",1976,104.3
"Serbia",1976,NA
"Seychelles",1976,36.6
"Sierra Leone",1976,175.3
"Singapore",1976,13
"Slovak Republic",1976,NA
"Slovenia",1976,NA
"Solomon Islands",1976,51.9
"South Africa",1976,82.6
"Spain",1976,20.4
"Sri Lanka",1976,47.3
"Sudan",1976,90.6
"Suriname",1976,NA
"Swaziland",1976,97.7
"Sweden",1976,8.3
"Switzerland",1976,10.4
"Syria",1976,56.4
"Tajikistan",1976,104.3
"Tanzania",1976,116.1
"Thailand",1976,55.2
"Timor-Leste",1976,NA
"Togo",1976,116.6
"Tonga",1976,29
"Trinidad and Tobago",1976,38.5
"Tunisia",1976,88.6
"Turkey",1976,105.2
"Turkmenistan",1976,NA
"Uganda",1976,120.9
"Ukraine",1976,24.6
"United Arab Emirates",1976,41.9
"United Kingdom",1976,14.7
"United States",1976,15.2
"Uruguay",1976,48.6
"Uzbekistan",1976,NA
"Vanuatu",1976,62.3
"Venezuela",1976,40.5
"West Bank and Gaza",1976,73.7
"Vietnam",1976,50.9
"Yemen",1976,173.1
"Zambia",1976,95.3
"Zimbabwe",1976,70.1
"Albania",1977,58.6
"Algeria",1977,119
"Angola",1977,NA
"Antigua and Barbuda",1977,NA
"Argentina",1977,47.2
"Armenia",1977,68.3
"Aruba",1977,NA
"Australia",1977,12.7
"Austria",1977,16.6
"Azerbaijan",1977,NA
"Bahamas",1977,26.6
"Bahrain",1977,32.6
"Bangladesh",1977,141.4
"Barbados",1977,28.3
"Belarus",1977,NA
"Belgium",1977,14.1
"Belize",1977,55.6
"Benin",1977,136.7
"Bhutan",1977,147.8
"Bolivia",1977,121.3
"Bosnia and Herzegovina",1977,NA
"Botswana",1977,63.2
"Brazil",1977,84.7
"Brunei",1977,NA
"Bulgaria",1977,28.1
"Burkina Faso",1977,127.4
"Burundi",1977,143
"Cambodia",1977,155.4
"Cameroon",1977,113.9
"Canada",1977,12.5
"Cape Verde",1977,69.5
"Central African Republic",1977,122.6
"Chad",1977,128.8
"Chile",1977,41.7
"China",1977,55.8
"Colombia",1977,52.8
"Comoros",1977,129.6
"Congo, Dem. Rep.",1977,137.1
"Congo, Rep.",1977,76
"Costa Rica",1977,28.1
"Cote d'Ivoire",1977,124.7
"Croatia",1977,NA
"Cuba",1977,20.8
"Cyprus",1977,NA
"Czech Republic",1977,NA
"Denmark",1977,9.2
"Djibouti",1977,127.6
"Dominican Republic",1977,70.3
"Ecuador",1977,76.5
"Egypt",1977,132.1
"El Salvador",1977,89.6
"Equatorial Guinea",1977,NA
"Eritrea",1977,119.5
"Estonia",1977,NA
"Ethiopia",1977,143.4
"Fiji",1977,39.5
"Finland",1977,8.7
"France",1977,11.5
"French Polynesia",1977,NA
"Gabon",1977,NA
"Gambia",1977,109.8
"Georgia",1977,53.5
"Germany",1977,15.5
"Ghana",1977,106
"Greece",1977,25.9
"Greenland",1977,NA
"Grenada",1977,NA
"Guatemala",1977,96.8
"Guinea",1977,179.1
"Guinea-Bissau",1977,135.3
"Guyana",1977,54.1
"Haiti",1977,139.2
"Honduras",1977,78.5
"Hong Kong, China",1977,NA
"Hungary",1977,29.4
"Iceland",1977,9.2
"India",1977,124
"Indonesia",1977,92.5
"Iran",1977,95
"Iraq",1977,61.2
"Ireland",1977,15.2
"Israel",1977,18.6
"Italy",1977,17.3
"Jamaica",1977,35.6
"Japan",1977,8.8
"Jordan",1977,49.1
"Kazakhstan",1977,61.4
"Kenya",1977,76
"Kiribati",1977,87.2
"South Korea",1977,17.4
"Kuwait",1977,36
"Kyrgyz Republic",1977,84.5
"Lao",1977,131.2
"Latvia",1977,NA
"Lebanon",1977,43.6
"Lesotho",1977,106.2
"Liberia",1977,168.3
"Libya",1977,65.6
"Lithuania",1977,19.7
"Luxembourg",1977,12.8
"Macao, China",1977,NA
"Macedonia, FYR",1977,NA
"Madagascar",1977,101.9
"Malawi",1977,170.6
"Malaysia",1977,30.5
"Maldives",1977,123.7
"Mali",1977,172.8
"Malta",1977,17
"Mauritania",1977,102
"Mauritius",1977,39.5
"Mexico",1977,62.8
"Micronesia, Fed. Sts.",1977,NA
"Moldova",1977,42.6
"Mongolia",1977,NA
"Montenegro",1977,NA
"Morocco",1977,104
"Mozambique",1977,176.4
"Namibia",1977,63.7
"Nepal",1977,152.3
"Netherlands",1977,9.7
"New Caledonia",1977,NA
"New Zealand",1977,13.9
"Nicaragua",1977,91.3
"Niger",1977,138.9
"Nigeria",1977,135.8
"Norway",1977,9.3
"Oman",1977,100.1
"Pakistan",1977,126.1
"Panama",1977,39
"Papua New Guinea",1977,82.5
"Paraguay",1977,52.6
"Peru",1977,87
"Philippines",1977,54.2
"Poland",1977,23.3
"Portugal",1977,29.5
"Puerto Rico",1977,NA
"Qatar",1977,34
"Romania",1977,39.3
"Russia",1977,28.7
"Rwanda",1977,148
"St. Lucia",1977,31
"St. Vincent and the Grenadines",1977,55
"Samoa",1977,NA
"Saudi Arabia",1977,83.4
"Senegal",1977,100.7
"Serbia",1977,NA
"Seychelles",1977,33.5
"Sierra Leone",1977,173.2
"Singapore",1977,12.3
"Slovak Republic",1977,NA
"Slovenia",1977,NA
"Solomon Islands",1977,48.9
"South Africa",1977,78.6
"Spain",1977,19.7
"Sri Lanka",1977,45.6
"Sudan",1977,89.8
"Suriname",1977,NA
"Swaziland",1977,93.9
"Sweden",1977,8
"Switzerland",1977,9.8
"Syria",1977,53.9
"Tajikistan",1977,102.5
"Tanzania",1977,114
"Thailand",1977,52.9
"Timor-Leste",1977,NA
"Togo",1977,114.1
"Tonga",1977,27.7
"Trinidad and Tobago",1977,37.4
"Tunisia",1977,83.2
"Turkey",1977,101.5
"Turkmenistan",1977,106.2
"Uganda",1977,123.3
"Ukraine",1977,24.2
"United Arab Emirates",1977,38.2
"United Kingdom",1977,14.1
"United States",1977,14.5
"Uruguay",1977,46.5
"Uzbekistan",1977,NA
"Vanuatu",1977,59.9
"Venezuela",1977,39.2
"West Bank and Gaza",1977,69.8
"Vietnam",1977,49.8
"Yemen",1977,164.6
"Zambia",1977,95.1
"Zimbabwe",1977,69.8
"Albania",1978,73
"Algeria",1978,113.6
"Angola",1978,NA
"Antigua and Barbuda",1978,NA
"Argentina",1978,43.8
"Armenia",1978,65.9
"Aruba",1978,NA
"Australia",1978,12
"Austria",1978,15.5
"Azerbaijan",1978,NA
"Bahamas",1978,26.2
"Bahrain",1978,30.4
"Bangladesh",1978,139.1
"Barbados",1978,26.7
"Belarus",1978,NA
"Belgium",1978,13.5
"Belize",1978,53.8
"Benin",1978,133.6
"Bhutan",1978,143.3
"Bolivia",1978,118.1
"Bosnia and Herzegovina",1978,NA
"Botswana",1978,60.2
"Brazil",1978,82
"Brunei",1978,NA
"Bulgaria",1978,26.8
"Burkina Faso",1978,123.4
"Burundi",1978,140
"Cambodia",1978,143.3
"Cameroon",1978,113
"Canada",1978,11.8
"Cape Verde",1978,66.4
"Central African Republic",1978,121
"Chad",1978,128.1
"Chile",1978,35.6
"China",1978,52.9
"Colombia",1978,50
"Comoros",1978,126.2
"Congo, Dem. Rep.",1978,135.4
"Congo, Rep.",1978,74.4
"Costa Rica",1978,23.9
"Cote d'Ivoire",1978,120.2
"Croatia",1978,NA
"Cuba",1978,18.7
"Cyprus",1978,NA
"Czech Republic",1978,NA
"Denmark",1978,8.8
"Djibouti",1978,124.3
"Dominican Republic",1978,68.2
"Ecuador",1978,73.6
"Egypt",1978,126
"El Salvador",1978,86.2
"Equatorial Guinea",1978,NA
"Eritrea",1978,117.5
"Estonia",1978,NA
"Ethiopia",1978,143.7
"Fiji",1978,38.2
"Finland",1978,8.1
"France",1978,11
"French Polynesia",1978,NA
"Gabon",1978,79
"Gambia",1978,107.6
"Georgia",1978,52
"Germany",1978,14.4
"Ghana",1978,103.8
"Greece",1978,24.3
"Greenland",1978,NA
"Grenada",1978,NA
"Guatemala",1978,93.7
"Guinea",1978,176.2
"Guinea-Bissau",1978,134.2
"Guyana",1978,53.8
"Haiti",1978,135.8
"Honduras",1978,75.3
"Hong Kong, China",1978,NA
"Hungary",1978,27.1
"Iceland",1978,8.7
"India",1978,120.7
"Indonesia",1978,90
"Iran",1978,89.4
"Iraq",1978,58.9
"Ireland",1978,14.2
"Israel",1978,17.2
"Italy",1978,16.1
"Jamaica",1978,34.7
"Japan",1978,8.3
"Jordan",1978,47.2
"Kazakhstan",1978,60.3
"Kenya",1978,73.7
"Kiribati",1978,86.8
"South Korea",1978,15.4
"Kuwait",1978,33.9
"Kyrgyz Republic",1978,82.8
"Lao",1978,139.6
"Latvia",1978,NA
"Lebanon",1978,42.6
"Lesotho",1978,101.8
"Liberia",1978,165.7
"Libya",1978,62.5
"Lithuania",1978,19.3
"Luxembourg",1978,12.2
"Macao, China",1978,NA
"Macedonia, FYR",1978,NA
"Madagascar",1978,103
"Malawi",1978,163.8
"Malaysia",1978,28.8
"Maldives",1978,117.7
"Mali",1978,168.7
"Malta",1978,16.2
"Mauritania",1978,100.1
"Mauritius",1978,36.3
"Mexico",1978,60.7
"Micronesia, Fed. Sts.",1978,NA
"Moldova",1978,41.6
"Mongolia",1978,121.8
"Montenegro",1978,NA
"Morocco",1978,100.7
"Mozambique",1978,175.7
"Namibia",1978,63.7
"Nepal",1978,148.3
"Netherlands",1978,9.3
"New Caledonia",1978,NA
"New Zealand",1978,13.5
"Nicaragua",1978,86.7
"Niger",1978,137.2
"Nigeria",1978,132.2
"Norway",1978,8.8
"Oman",1978,92.9
"Pakistan",1978,124.7
"Panama",1978,37.9
"Papua New Guinea",1978,80.6
"Paraguay",1978,51.6
"Peru",1978,85.5
"Philippines",1978,54
"Poland",1978,22.5
"Portugal",1978,26.8
"Puerto Rico",1978,NA
"Qatar",1978,32.4
"Romania",1978,37.8
"Russia",1978,28.2
"Rwanda",1978,144.9
"St. Lucia",1978,29.3
"St. Vincent and the Grenadines",1978,52.1
"Samoa",1978,NA
"Saudi Arabia",1978,79
"Senegal",1978,97.3
"Serbia",1978,NA
"Seychelles",1978,30.5
"Sierra Leone",1978,171.2
"Singapore",1978,12.3
"Slovak Republic",1978,NA
"Slovenia",1978,NA
"Solomon Islands",1978,46.3
"South Africa",1978,74.9
"Spain",1978,18.4
"Sri Lanka",1978,43.7
"Sudan",1978,89.1
"Suriname",1978,NA
"Swaziland",1978,90.4
"Sweden",1978,7.6
"Switzerland",1978,9.2
"Syria",1978,51.5
"Tajikistan",1978,101.3
"Tanzania",1978,111.9
"Thailand",1978,50.8
"Timor-Leste",1978,NA
"Togo",1978,111.7
"Tonga",1978,26.6
"Trinidad and Tobago",1978,36.3
"Tunisia",1978,78.1
"Turkey",1978,97.7
"Turkmenistan",1978,102.8
"Uganda",1978,125.6
"Ukraine",1978,23.8
"United Arab Emirates",1978,34.8
"United Kingdom",1978,13.4
"United States",1978,13.8
"Uruguay",1978,43.2
"Uzbekistan",1978,NA
"Vanuatu",1978,57.4
"Venezuela",1978,37.9
"West Bank and Gaza",1978,66
"Vietnam",1978,48.8
"Yemen",1978,156.1
"Zambia",1978,95.3
"Zimbabwe",1978,69.2
"Albania",1979,68.4
"Algeria",1979,107.8
"Angola",1979,NA
"Antigua and Barbuda",1979,NA
"Argentina",1979,40.3
"Armenia",1979,63.5
"Aruba",1979,NA
"Australia",1979,11.3
"Austria",1979,14.6
"Azerbaijan",1979,NA
"Bahamas",1979,25.7
"Bahrain",1979,28.5
"Bangladesh",1979,136.5
"Barbados",1979,25.2
"Belarus",1979,NA
"Belgium",1979,12.8
"Belize",1979,52.2
"Benin",1979,130.9
"Bhutan",1979,138.8
"Bolivia",1979,115.1
"Bosnia and Herzegovina",1979,NA
"Botswana",1979,57.4
"Brazil",1979,79
"Brunei",1979,NA
"Bulgaria",1979,25.7
"Burkina Faso",1979,120.2
"Burundi",1979,136
"Cambodia",1979,130
"Cameroon",1979,111.4
"Canada",1979,11
"Cape Verde",1979,64.1
"Central African Republic",1979,119.6
"Chad",1979,127.4
"Chile",1979,31.4
"China",1979,50.2
"Colombia",1979,47.2
"Comoros",1979,122.5
"Congo, Dem. Rep.",1979,133.7
"Congo, Rep.",1979,72.8
"Costa Rica",1979,21.3
"Cote d'Ivoire",1979,116.6
"Croatia",1979,NA
"Cuba",1979,17.4
"Cyprus",1979,21
"Czech Republic",1979,NA
"Denmark",1979,8.6
"Djibouti",1979,121.1
"Dominican Republic",1979,66.1
"Ecuador",1979,70.9
"Egypt",1979,120
"El Salvador",1979,82.6
"Equatorial Guinea",1979,NA
"Eritrea",1979,115.8
"Estonia",1979,NA
"Ethiopia",1979,143.5
"Fiji",1979,36.8
"Finland",1979,7.6
"France",1979,10.6
"French Polynesia",1979,NA
"Gabon",1979,76.6
"Gambia",1979,105.4
"Georgia",1979,50.5
"Germany",1979,13.5
"Ghana",1979,102.1
"Greece",1979,22.8
"Greenland",1979,NA
"Grenada",1979,NA
"Guatemala",1979,90.7
"Guinea",1979,173.2
"Guinea-Bissau",1979,133.2
"Guyana",1979,53.5
"Haiti",1979,132.5
"Honduras",1979,72.2
"Hong Kong, China",1979,NA
"Hungary",1979,25.3
"Iceland",1979,8.3
"India",1979,117.5
"Indonesia",1979,87.7
"Iran",1979,83.7
"Iraq",1979,56.9
"Ireland",1979,13
"Israel",1979,16.1
"Italy",1979,15.1
"Jamaica",1979,33.8
"Japan",1979,7.9
"Jordan",1979,45.3
"Kazakhstan",1979,59.2
"Kenya",1979,71.5
"Kiribati",1979,86.5
"South Korea",1979,13.7
"Kuwait",1979,31.8
"Kyrgyz Republic",1979,80.9
"Lao",1979,137.1
"Latvia",1979,19.4
"Lebanon",1979,41.5
"Lesotho",1979,97.6
"Liberia",1979,163.1
"Libya",1979,59.6
"Lithuania",1979,18.8
"Luxembourg",1979,11.7
"Macao, China",1979,NA
"Macedonia, FYR",1979,NA
"Madagascar",1979,104.1
"Malawi",1979,157.4
"Malaysia",1979,27
"Maldives",1979,112.1
"Mali",1979,164.8
"Malta",1979,15.6
"Mauritania",1979,98.1
"Mauritius",1979,34
"Mexico",1979,58.5
"Micronesia, Fed. Sts.",1979,NA
"Moldova",1979,40.6
"Mongolia",1979,117.4
"Montenegro",1979,NA
"Morocco",1979,97.4
"Mozambique",1979,175.1
"Namibia",1979,63.6
"Nepal",1979,144.3
"Netherlands",1979,9
"New Caledonia",1979,NA
"New Zealand",1979,13.1
"Nicaragua",1979,82.1
"Niger",1979,135.7
"Nigeria",1979,129.3
"Norway",1979,8.4
"Oman",1979,86.1
"Pakistan",1979,123.4
"Panama",1979,36.8
"Papua New Guinea",1979,78.8
"Paraguay",1979,50.5
"Peru",1979,83.9
"Philippines",1979,53.7
"Poland",1979,21.7
"Portugal",1979,24.6
"Puerto Rico",1979,NA
"Qatar",1979,31
"Romania",1979,36.3
"Russia",1979,27.8
"Rwanda",1979,138
"St. Lucia",1979,27.9
"St. Vincent and the Grenadines",1979,48.7
"Samoa",1979,NA
"Saudi Arabia",1979,74.8
"Senegal",1979,94.3
"Serbia",1979,NA
"Seychelles",1979,27.8
"Sierra Leone",1979,169.2
"Singapore",1979,12.3
"Slovak Republic",1979,NA
"Slovenia",1979,NA
"Solomon Islands",1979,43.9
"South Africa",1979,71.4
"Spain",1979,16.8
"Sri Lanka",1979,41.6
"Sudan",1979,88.5
"Suriname",1979,NA
"Swaziland",1979,87.2
"Sweden",1979,7.4
"Switzerland",1979,8.7
"Syria",1979,49.1
"Tajikistan",1979,100.6
"Tanzania",1979,110.2
"Thailand",1979,48.9
"Timor-Leste",1979,NA
"Togo",1979,109.2
"Tonga",1979,25.5
"Trinidad and Tobago",1979,35.3
"Tunisia",1979,73.4
"Turkey",1979,94
"Turkmenistan",1979,99.6
"Uganda",1979,127.2
"Ukraine",1979,23.4
"United Arab Emirates",1979,31.7
"United Kingdom",1979,12.7
"United States",1979,13.2
"Uruguay",1979,39.5
"Uzbekistan",1979,97.7
"Vanuatu",1979,54.8
"Venezuela",1979,36.6
"West Bank and Gaza",1979,62.5
"Vietnam",1979,47.8
"Yemen",1979,147.7
"Zambia",1979,95.6
"Zimbabwe",1979,68.1
"Albania",1980,64
"Algeria",1980,101.1
"Angola",1980,138.3
"Antigua and Barbuda",1980,NA
"Argentina",1980,37.2
"Armenia",1980,61.3
"Aruba",1980,NA
"Australia",1980,10.8
"Austria",1980,13.9
"Azerbaijan",1980,95
"Bahamas",1980,25.2
"Bahrain",1980,26.8
"Bangladesh",1980,133.7
"Barbados",1980,23.8
"Belarus",1980,19.4
"Belgium",1980,12.2
"Belize",1980,50.5
"Benin",1980,128.7
"Bhutan",1980,134.3
"Bolivia",1980,112.3
"Bosnia and Herzegovina",1980,30.7
"Botswana",1980,54.7
"Brazil",1980,75.9
"Brunei",1980,19
"Bulgaria",1980,24.5
"Burkina Faso",1980,117.6
