"country","year","fertility"
"Austria",1974,1.91
"Azerbaijan",1974,4.08
"Bahamas",1974,3.33
"Bahrain",1974,5.72
"Bangladesh",1974,6.87
"Barbados",1974,2.51
"Belarus",1974,2.19
"Belgium",1974,1.91
"Belize",1974,6.29
"Benin",1974,6.9
"Bhutan",1974,6.69
"Bolivia",1974,6.31
"Bosnia and Herzegovina",1974,2.49
"Botswana",1974,6.51
"Brazil",1974,4.59
"Brunei",1974,5.56
"Bulgaria",1974,2.18
"Burkina Faso",1974,6.8
"Burundi",1974,7.4
"Cambodia",1974,5.8
"Cameroon",1974,6.36
"Canada",1974,1.83
"Cape Verde",1974,6.82
"Central African Republic",1974,5.95
"Chad",1974,6.74
"Chile",1974,3.33
"China",1974,4.15
"Colombia",1974,4.78
"Comoros",1974,7.05
"Congo, Dem. Rep.",1974,6.33
"Congo, Rep.",1974,6.32
"Costa Rica",1974,4.11
"Cote d'Ivoire",1974,7.93
"Croatia",1974,1.98
"Cuba",1974,3.13
"Cyprus",1974,2.39
"Czech Republic",1974,2.26
"Denmark",1974,1.9
"Djibouti",1974,6.82
"Dominican Republic",1974,5.38
"Ecuador",1974,5.59
"Egypt",1974,5.63
"El Salvador",1974,5.82
"Equatorial Guinea",1974,5.68
"Eritrea",1974,6.62
"Estonia",1974,2.13
"Ethiopia",1974,7.12
"Fiji",1974,4.11
"Finland",1974,1.62
"France",1974,2.14
"French Polynesia",1974,4.67
"Gabon",1974,5.34
"Gambia",1974,6.26
"Georgia",1974,2.54
"Germany",1974,1.62
"Ghana",1974,6.86
"Greece",1974,2.35
"Greenland",1974,2.3
"Grenada",1974,4.48
"Guatemala",1974,6.2
"Guinea",1974,6.32
"Guinea-Bissau",1974,6.99
"Guyana",1974,4.85
"Haiti",1974,5.62
"Honduras",1974,6.94
"Hong Kong, China",1974,2.98
"Hungary",1974,2.11
"Iceland",1974,2.73
"India",1974,5.16
"Indonesia",1974,5.15
"Iran",1974,6.21
"Iraq",1974,7.07
"Ireland",1974,3.67
"Israel",1974,3.72
"Italy",1974,2.24
"Jamaica",1974,4.69
"Japan",1974,2.05
"Jordan",1974,7.68
"Kazakhstan",1974,3.32
"Kenya",1974,7.91
"Kiribati",1974,4.96
"South Korea",1974,3.87
"Kuwait",1974,6.62
"Kyrgyz Republic",1974,4.49
"Lao",1974,6.03
"Latvia",1974,1.96
"Lebanon",1974,4.53
"Lesotho",1974,5.78
"Liberia",1974,6.85
"Libya",1974,7.98
"Lithuania",1974,2.24
"Luxembourg",1974,1.63
"Macao, China",1974,1.57
"Macedonia, FYR",1974,2.79
"Madagascar",1974,7.27
"Malawi",1974,7.48
"Malaysia",1974,4.34
"Maldives",1974,7.04
"Mali",1974,6.95
"Malta",1974,2.03
"Mauritania",1974,6.71
"Mauritius",1974,3.34
"Mexico",1974,6.16
"Micronesia, Fed. Sts.",1974,6.77
"Moldova",1974,2.5
"Mongolia",1974,7.29
"Montenegro",1974,2.55
"Morocco",1974,6.27
"Mozambique",1974,6.56
"Namibia",1974,6.64
"Nepal",1974,5.91
"Netherlands",1974,1.77
"New Caledonia",1974,4.83
"New Zealand",1974,2.61
"Nicaragua",1974,6.68
"Niger",1974,7.55
"Nigeria",1974,6.67
"Norway",1974,2.13
"Oman",1974,7.62
"Pakistan",1974,6.61
"Panama",1974,4.68
"Papua New Guinea",1974,6.04
"Paraguay",1974,5.27
"Peru",1974,5.83
"Philippines",1974,5.82
"Poland",1974,2.24
"Portugal",1974,2.77
"Puerto Rico",1974,2.91
"Qatar",1974,6.6
"Romania",1974,2.71
"Russia",1974,2
"Rwanda",1974,8.34
"St. Lucia",1974,5.57
"St. Vincent and the Grenadines",1974,5.2
"Samoa",1974,6.86
"Saudi Arabia",1974,7.31
"Senegal",1974,7.45
"Serbia",1974,2.36
"Seychelles",1974,5.07
"Sierra Leone",1974,6.89
"Singapore",1974,2.46
"Slovak Republic",1974,2.5
"Slovenia",1974,2.22
"Solomon Islands",1974,7.25
"South Africa",1974,5.34
"Spain",1974,2.8
"Sri Lanka",1974,3.87
"Sudan",1974,6.93
"Suriname",1974,4.95
"Swaziland",1974,6.84
"Sweden",1974,1.88
"Switzerland",1974,1.74
"Syria",1974,7.51
"Tajikistan",1974,6.57
"Tanzania",1974,6.76
"Thailand",1974,4.72
"Timor-Leste",1974,5.04
"Togo",1974,7.25
"Tonga",1974,5.45
"Trinidad and Tobago",1974,3.35
"Tunisia",1974,5.95
"Turkey",1974,5.14
"Turkmenistan",1974,5.94
"Uganda",1974,7.1
"Ukraine",1974,2.05
"United Arab Emirates",1974,6.15
"United Kingdom",1974,1.89
"United States",1974,1.83
"Uruguay",1974,2.99
"Uzbekistan",1974,6.12
"Vanuatu",1974,6
"Venezuela",1974,4.78
"West Bank and Gaza",1974,7.65
"Vietnam",1974,6.13
"Yemen",1974,7.92
"Zambia",1974,7.44
"Zimbabwe",1974,7.41
"Albania",1975,4.39
"Algeria",1975,7.42
"Angola",1975,7.19
"Antigua and Barbuda",1975,2.7
"Argentina",1975,3.32
"Armenia",1975,2.75
"Aruba",1975,2.51
"Australia",1975,2.15
"Austria",1975,1.83
"Azerbaijan",1975,3.95
"Bahamas",1975,3.23
"Bahrain",1975,5.56
"Bangladesh",1975,6.82
"Barbados",1975,2.39
"Belarus",1975,2.16
"Belgium",1975,1.84
"Belize",1975,6.28
"Benin",1975,6.93
"Bhutan",1975,6.69
"Bolivia",1975,6.18
"Bosnia and Herzegovina",1975,2.41
"Botswana",1975,6.48
"Brazil",1975,4.5
"Brunei",1975,5.37
"Bulgaria",1975,2.19
"Burkina Faso",1975,6.86
"Burundi",1975,7.42
"Cambodia",1975,5.62
"Cameroon",1975,6.39
"Canada",1975,1.83
"Cape Verde",1975,6.77
"Central African Republic",1975,5.95
"Chad",1975,6.78
"Chile",1975,3.16
"China",1975,3.58
"Colombia",1975,4.63
"Comoros",1975,7.05
"Congo, Dem. Rep.",1975,6.37
"Congo, Rep.",1975,6.33
"Costa Rica",1975,3.97
"Cote d'Ivoire",1975,7.92
"Croatia",1975,1.99
"Cuba",1975,2.84
"Cyprus",1975,2.35
"Czech Republic",1975,2.29
"Denmark",1975,1.92
"Djibouti",1975,6.78
"Dominican Republic",1975,5.19
"Ecuador",1975,5.45
"Egypt",1975,5.59
"El Salvador",1975,5.72
"Equatorial Guinea",1975,5.67
"Eritrea",1975,6.61
"Estonia",1975,2.11
"Ethiopia",1975,7.14
"Fiji",1975,4.05
"Finland",1975,1.69
"France",1975,2.06
"French Polynesia",1975,4.55
"Gabon",1975,5.41
"Gambia",1975,6.29
"Georgia",1975,2.5
"Germany",1975,1.56
"Ghana",1975,6.82
"Greece",1975,2.34
"Greenland",1975,2.35
"Grenada",1975,4.44
"Guatemala",1975,6.2
"Guinea",1975,6.35
"Guinea-Bissau",1975,6.87
"Guyana",1975,4.76
"Haiti",1975,5.64
"Honduras",1975,6.84
"Hong Kong, China",1975,2.81
"Hungary",1975,2.12
"Iceland",1975,2.65
"India",1975,5.08
"Indonesia",1975,5.04
"Iran",1975,6.21
"Iraq",1975,6.99
"Ireland",1975,3.57
"Israel",1975,3.66
"Italy",1975,2.17
"Jamaica",1975,4.48
"Japan",1975,2
"Jordan",1975,7.6
"Kazakhstan",1975,3.25
"Kenya",1975,7.84
"Kiribati",1975,4.9
"South Korea",1975,3.62
"Kuwait",1975,6.43
"Kyrgyz Republic",1975,4.37
"Lao",1975,6.06
"Latvia",1975,1.94
"Lebanon",1975,4.44
"Lesotho",1975,5.76
"Liberia",1975,6.88
"Libya",1975,7.99
"Lithuania",1975,2.21
"Luxembourg",1975,1.57
"Macao, China",1975,1.48
"Macedonia, FYR",1975,2.75
"Madagascar",1975,7.22
"Malawi",1975,7.52
"Malaysia",1975,4.21
"Maldives",1975,6.98
"Mali",1975,6.97
"Malta",1975,2.06
"Mauritania",1975,6.68
"Mauritius",1975,3.26
"Mexico",1975,5.93
"Micronesia, Fed. Sts.",1975,6.68
"Moldova",1975,2.48
"Mongolia",1975,7.14
"Montenegro",1975,2.5
"Morocco",1975,6.17
"Mozambique",1975,6.55
"Namibia",1975,6.65
"Nepal",1975,5.89
"Netherlands",1975,1.66
"New Caledonia",1975,4.6
"New Zealand",1975,2.46
"Nicaragua",1975,6.6
"Niger",1975,7.58
"Nigeria",1975,6.71
"Norway",1975,1.98
"Oman",1975,7.75
"Pakistan",1975,6.61
"Panama",1975,4.54
"Papua New Guinea",1975,6
"Paraguay",1975,5.22
"Peru",1975,5.7
"Philippines",1975,5.72
"Poland",1975,2.25
"Portugal",1975,2.71
"Puerto Rico",1975,2.86
"Qatar",1975,6.47
"Romania",1975,2.62
"Russia",1975,1.97
"Rwanda",1975,8.37
"St. Lucia",1975,5.46
"St. Vincent and the Grenadines",1975,4.97
"Samoa",1975,6.76
"Saudi Arabia",1975,7.31
"Senegal",1975,7.47
"Serbia",1975,2.36
"Seychelles",1975,4.85
"Sierra Leone",1975,6.94
"Singapore",1975,2.27
"Slovak Republic",1975,2.5
"Slovenia",1975,2.21
"Solomon Islands",1975,7.24
"South Africa",1975,5.25
"Spain",1975,2.75
"Sri Lanka",1975,3.78
"Sudan",1975,6.94
"Suriname",1975,4.74
"Swaziland",1975,6.82
"Sweden",1975,1.77
"Switzerland",1975,1.67
"Syria",1975,7.47
"Tajikistan",1975,6.4
"Tanzania",1975,6.75
"Thailand",1975,4.49
"Timor-Leste",1975,4.79
"Togo",1975,7.28
"Tonga",1975,5.43
"Trinidad and Tobago",1975,3.31
"Tunisia",1975,5.87
"Turkey",1975,5.01
"Turkmenistan",1975,5.78
"Uganda",1975,7.1
"Ukraine",1975,2.03
"United Arab Emirates",1975,6.01
"United Kingdom",1975,1.83
"United States",1975,1.77
"Uruguay",1975,2.98
"Uzbekistan",1975,5.98
"Vanuatu",1975,5.93
"Venezuela",1975,4.67
"West Bank and Gaza",1975,7.61
"Vietnam",1975,5.97
"Yemen",1975,8.09
"Zambia",1975,7.44
"Zimbabwe",1975,7.4
"Albania",1976,4.24
"Algeria",1976,7.34
"Angola",1976,7.19
"Antigua and Barbuda",1976,2.51
"Argentina",1976,3.37
"Armenia",1976,2.65
"Aruba",1976,2.47
"Australia",1976,2.06
"Austria",1976,1.69
"Azerbaijan",1976,3.81
"Bahamas",1976,3.14
"Bahrain",1976,5.41
"Bangladesh",1976,6.76
"Barbados",1976,2.29
"Belarus",1976,2.13
"Belgium",1976,1.78
"Belize",1976,6.25
"Benin",1976,6.96
"Bhutan",1976,6.69
"Bolivia",1976,6.04
"Bosnia and Herzegovina",1976,2.34
"Botswana",1976,6.44
"Brazil",1976,4.42
"Brunei",1976,5.13
"Bulgaria",1976,2.19
"Burkina Faso",1976,6.92
"Burundi",1976,7.44
"Cambodia",1976,5.5
"Cameroon",1976,6.43
"Canada",1976,1.78
"Cape Verde",1976,6.71
"Central African Republic",1976,5.95
"Chad",1976,6.82
"Chile",1976,3.01
"China",1976,3.25
"Colombia",1976,4.5
"Comoros",1976,7.07
"Congo, Dem. Rep.",1976,6.4
"Congo, Rep.",1976,6.32
"Costa Rica",1976,3.86
"Cote d'Ivoire",1976,7.88
"Croatia",1976,2
"Cuba",1976,2.57
"Cyprus",1976,2.32
"Czech Republic",1976,2.31
"Denmark",1976,1.75
"Djibouti",1976,6.73
"Dominican Republic",1976,5.01
"Ecuador",1976,5.3
"Egypt",1976,5.55
"El Salvador",1976,5.62
"Equatorial Guinea",1976,5.68
"Eritrea",1976,6.62
"Estonia",1976,2.1
"Ethiopia",1976,7.17
"Fiji",1976,4.02
"Finland",1976,1.72
"France",1976,1.98
"French Polynesia",1976,4.42
"Gabon",1976,5.48
"Gambia",1976,6.32
"Georgia",1976,2.46
"Germany",1976,1.53
"Ghana",1976,6.77
"Greece",1976,2.34
"Greenland",1976,2.26
"Grenada",1976,4.39
"Guatemala",1976,6.2
"Guinea",1976,6.39
"Guinea-Bissau",1976,6.66
"Guyana",1976,4.62
"Haiti",1976,5.7
"Honduras",1976,6.75
"Hong Kong, China",1976,2.63
"Hungary",1976,2.12
"Iceland",1976,2.57
"India",1976,5
"Indonesia",1976,4.93
"Iran",1976,6.24
"Iraq",1976,6.92
"Ireland",1976,3.46
"Israel",1976,3.59
"Italy",1976,2.08
"Jamaica",1976,4.29
"Japan",1976,1.94
"Jordan",1976,7.52
"Kazakhstan",1976,3.18
"Kenya",1976,7.77
"Kiribati",1976,4.93
"South Korea",1976,3.36
"Kuwait",1976,6.23
"Kyrgyz Republic",1976,4.25
"Lao",1976,6.1
"Latvia",1976,1.92
"Lebanon",1976,4.36
"Lesotho",1976,5.74
"Liberia",1976,6.91
"Libya",1976,7.99
"Lithuania",1976,2.17
"Luxembourg",1976,1.53
"Macao, China",1976,1.44
"Macedonia, FYR",1976,2.7
"Madagascar",1976,7.13
"Malawi",1976,7.56
"Malaysia",1976,4.09
"Maldives",1976,6.94
"Mali",1976,6.98
"Malta",1976,2.08
"Mauritania",1976,6.64
"Mauritius",1976,3.17
"Mexico",1976,5.68
"Micronesia, Fed. Sts.",1976,6.59
"Moldova",1976,2.47
"Mongolia",1976,6.97
"Montenegro",1976,2.45
"Morocco",1976,6.07
"Mozambique",1976,6.54
"Namibia",1976,6.65
"Nepal",1976,5.87
"Netherlands",1976,1.63
"New Caledonia",1976,4.35
"New Zealand",1976,2.37
"Nicaragua",1976,6.51
"Niger",1976,7.6
"Nigeria",1976,6.74
"Norway",1976,1.86
"Oman",1976,7.89
"Pakistan",1976,6.61
"Panama",1976,4.4
"Papua New Guinea",1976,5.95
"Paraguay",1976,5.2
"Peru",1976,5.57
"Philippines",1976,5.61
"Poland",1976,2.26
"Portugal",1976,2.65
"Puerto Rico",1976,2.82
"Qatar",1976,6.34
"Romania",1976,2.57
"Russia",1976,1.95
"Rwanda",1976,8.4
"St. Lucia",1976,5.35
"St. Vincent and the Grenadines",1976,4.75
"Samoa",1976,6.66
"Saudi Arabia",1976,7.31
"Senegal",1976,7.47
"Serbia",1976,2.37
"Seychelles",1976,4.62
"Sierra Leone",1976,6.98
"Singapore",1976,2.1
"Slovak Republic",1976,2.48
"Slovenia",1976,2.2
"Solomon Islands",1976,7.18
"South Africa",1976,5.16
"Spain",1976,2.68
"Sri Lanka",1976,3.71
"Sudan",1976,6.93
"Suriname",1976,4.53
"Swaziland",1976,6.79
"Sweden",1976,1.68
"Switzerland",1976,1.61
"Syria",1976,7.42
"Tajikistan",1976,6.22
"Tanzania",1976,6.74
"Thailand",1976,4.26
"Timor-Leste",1976,4.61
"Togo",1976,7.29
"Tonga",1976,5.44
"Trinidad and Tobago",1976,3.29
"Tunisia",1976,5.79
"Turkey",1976,4.87
"Turkmenistan",1976,5.61
"Uganda",1976,7.1
"Ukraine",1976,2.01
"United Arab Emirates",1976,5.87
"United Kingdom",1976,1.78
"United States",1976,1.74
"Uruguay",1976,2.95
"Uzbekistan",1976,5.83
"Vanuatu",1976,5.86
"Venezuela",1976,4.57
"West Bank and Gaza",1976,7.57
"Vietnam",1976,5.8
"Yemen",1976,8.28
"Zambia",1976,7.41
"Zimbabwe",1976,7.37
"Albania",1977,4.09
"Algeria",1977,7.24
"Angola",1977,7.19
"Antigua and Barbuda",1977,2.36
"Argentina",1977,3.39
"Armenia",1977,2.56
"Aruba",1977,2.45
"Australia",1977,2.01
"Austria",1977,1.63
"Azerbaijan",1977,3.68
"Bahamas",1977,3.06
"Bahrain",1977,5.28
"Bangladesh",1977,6.68
"Barbados",1977,2.2
"Belarus",1977,2.11
"Belgium",1977,1.73
"Belize",1977,6.2
"Benin",1977,6.98
"Bhutan",1977,6.67
"Bolivia",1977,5.9
"Bosnia and Herzegovina",1977,2.27
"Botswana",1977,6.4
"Brazil",1977,4.34
"Brunei",1977,4.88
"Bulgaria",1977,2.18
"Burkina Faso",1977,6.98
"Burundi",1977,7.45
"Cambodia",1977,5.44
"Cameroon",1977,6.47
"Canada",1977,1.75
"Cape Verde",1977,6.65
"Central African Republic",1977,5.95
"Chad",1977,6.86
"Chile",1977,2.89
"China",1977,2.87
"Colombia",1977,4.37
"Comoros",1977,7.08
"Congo, Dem. Rep.",1977,6.44
"Congo, Rep.",1977,6.3
"Costa Rica",1977,3.78
"Cote d'Ivoire",1977,7.84
"Croatia",1977,2.01
"Cuba",1977,2.33
"Cyprus",1977,2.31
"Czech Republic",1977,2.3
"Denmark",1977,1.66
"Djibouti",1977,6.67
"Dominican Republic",1977,4.85
"Ecuador",1977,5.16
"Egypt",1977,5.51
"El Salvador",1977,5.51
"Equatorial Guinea",1977,5.68
"Eritrea",1977,6.62
"Estonia",1977,2.08
"Ethiopia",1977,7.2
"Fiji",1977,3.99
"Finland",1977,1.69
"France",1977,1.92
"French Polynesia",1977,4.3
"Gabon",1977,5.54
"Gambia",1977,6.33
"Georgia",1977,2.42
"Germany",1977,1.5
"Ghana",1977,6.72
"Greece",1977,2.32
"Greenland",1977,2.35
"Grenada",1977,4.34
"Guatemala",1977,6.2
"Guinea",1977,6.43
"Guinea-Bissau",1977,6.46
"Guyana",1977,4.44
"Haiti",1977,5.78
"Honduras",1977,6.65
"Hong Kong, China",1977,2.44
"Hungary",1977,2.11
"Iceland",1977,2.49
"India",1977,4.92
"Indonesia",1977,4.81
"Iran",1977,6.29
"Iraq",1977,6.83
"Ireland",1977,3.34
"Israel",1977,3.51
"Italy",1977,1.99
"Jamaica",1977,4.12
"Japan",1977,1.89
"Jordan",1977,7.46
"Kazakhstan",1977,3.11
"Kenya",1977,7.7
"Kiribati",1977,4.98
"South Korea",1977,3.11
"Kuwait",1977,6.05
"Kyrgyz Republic",1977,4.15
"Lao",1977,6.14
"Latvia",1977,1.91
"Lebanon",1977,4.27
"Lesotho",1977,5.71
"Liberia",1977,6.93
"Libya",1977,7.98
"Lithuania",1977,2.13
"Luxembourg",1977,1.5
"Macao, China",1977,1.44
"Macedonia, FYR",1977,2.67
"Madagascar",1977,7.01
"Malawi",1977,7.58
"Malaysia",1977,3.99
"Maldives",1977,6.93
"Mali",1977,7
"Malta",1977,2.09
"Mauritania",1977,6.59
"Mauritius",1977,3.07
"Mexico",1977,5.42
"Micronesia, Fed. Sts.",1977,6.49
"Moldova",1977,2.46
"Mongolia",1977,6.78
"Montenegro",1977,2.4
"Morocco",1977,5.97
"Mozambique",1977,6.53
"Namibia",1977,6.62
"Nepal",1977,5.85
"Netherlands",1977,1.58
"New Caledonia",1977,4.1
"New Zealand",1977,2.32
"Nicaragua",1977,6.42
"Niger",1977,7.63
"Nigeria",1977,6.76
"Norway",1977,1.75
"Oman",1977,8.02
"Pakistan",1977,6.6
"Panama",1977,4.26
"Papua New Guinea",1977,5.9
"Paraguay",1977,5.2
"Peru",1977,5.44
"Philippines",1977,5.51
"Poland",1977,2.27
"Portugal",1977,2.57
"Puerto Rico",1977,2.77
"Qatar",1977,6.21
"Romania",1977,2.58
"Russia",1977,1.92
"Rwanda",1977,8.42
"St. Lucia",1977,5.22
"St. Vincent and the Grenadines",1977,4.54
"Samoa",1977,6.55
"Saudi Arabia",1977,7.3
"Senegal",1977,7.46
"Serbia",1977,2.37
"Seychelles",1977,4.41
"Sierra Leone",1977,7.01
"Singapore",1977,1.95
"Slovak Republic",1977,2.47
"Slovenia",1977,2.17
"Solomon Islands",1977,7.1
"South Africa",1977,5.06
"Spain",1977,2.59
"Sri Lanka",1977,3.63
"Sudan",1977,6.92
"Suriname",1977,4.34
"Swaziland",1977,6.76
"Sweden",1977,1.65
"Switzerland",1977,1.57
"Syria",1977,7.36
"Tajikistan",1977,6.04
"Tanzania",1977,6.73
"Thailand",1977,4.03
"Timor-Leste",1977,4.51
"Togo",1977,7.28
"Tonga",1977,5.47
"Trinidad and Tobago",1977,3.27
"Tunisia",1977,5.71
"Turkey",1977,4.74
"Turkmenistan",1977,5.44
"Uganda",1977,7.1
"Ukraine",1977,2
"United Arab Emirates",1977,5.74
"United Kingdom",1977,1.74
"United States",1977,1.78
"Uruguay",1977,2.91
"Uzbekistan",1977,5.66
"Vanuatu",1977,5.79
"Venezuela",1977,4.48
"West Bank and Gaza",1977,7.52
"Vietnam",1977,5.61
"Yemen",1977,8.47
"Zambia",1977,7.38
"Zimbabwe",1977,7.33
"Albania",1978,3.95
"Algeria",1978,7.14
"Angola",1978,7.19
"Antigua and Barbuda",1978,2.24
"Argentina",1978,3.39
"Armenia",1978,2.48
"Aruba",1978,2.43
"Australia",1978,1.95
"Austria",1978,1.6
"Azerbaijan",1978,3.54
"Bahamas",1978,3.01
"Bahrain",1978,5.16
"Bangladesh",1978,6.59
"Barbados",1978,2.12
"Belarus",1978,2.09
"Belgium",1978,1.69
"Belize",1978,6.11
"Benin",1978,7
"Bhutan",1978,6.64
"Bolivia",1978,5.76
"Bosnia and Herzegovina",1978,2.2
"Botswana",1978,6.35
"Brazil",1978,4.26
"Brunei",1978,4.65
"Bulgaria",1978,2.17
"Burkina Faso",1978,7.04
"Burundi",1978,7.46
"Cambodia",1978,5.46
"Cameroon",1978,6.52
"Canada",1978,1.7
"Cape Verde",1978,6.56
"Central African Republic",1978,5.95
"Chad",1978,6.89
"Chile",1978,2.79
"China",1978,2.74
"Colombia",1978,4.25
"Comoros",1978,7.11
"Congo, Dem. Rep.",1978,6.49
"Congo, Rep.",1978,6.27
"Costa Rica",1978,3.72
"Cote d'Ivoire",1978,7.77
"Croatia",1978,2.01
"Cuba",1978,2.13
"Cyprus",1978,2.31
"Czech Republic",1978,2.28
"Denmark",1978,1.67
"Djibouti",1978,6.6
"Dominican Republic",1978,4.69
"Ecuador",1978,5.02
"Egypt",1978,5.47
"El Salvador",1978,5.39
"Equatorial Guinea",1978,5.69
"Eritrea",1978,6.62
"Estonia",1978,2.07
"Ethiopia",1978,7.23
"Fiji",1978,3.97
"Finland",1978,1.65
"France",1978,1.87
"French Polynesia",1978,4.19
"Gabon",1978,5.6
"Gambia",1978,6.34
"Georgia",1978,2.38
"Germany",1978,1.49
"Ghana",1978,6.67
"Greece",1978,2.28
"Greenland",1978,2.2
"Grenada",1978,4.3
"Guatemala",1978,6.2
"Guinea",1978,6.47
"Guinea-Bissau",1978,6.33
"Guyana",1978,4.2
"Haiti",1978,5.87
"Honduras",1978,6.54
"Hong Kong, China",1978,2.26
"Hungary",1978,2.08
"Iceland",1978,2.42
"India",1978,4.84
"Indonesia",1978,4.68
"Iran",1978,6.35
"Iraq",1978,6.75
"Ireland",1978,3.22
"Israel",1978,3.43
"Italy",1978,1.9
"Jamaica",1978,3.97
"Japan",1978,1.84
"Jordan",1978,7.39
"Kazakhstan",1978,3.05
"Kenya",1978,7.62
"Kiribati",1978,5.03
"South Korea",1978,2.88
"Kuwait",1978,5.87
"Kyrgyz Republic",1978,4.08
"Lao",1978,6.19
"Latvia",1978,1.9
"Lebanon",1978,4.18
"Lesotho",1978,5.67
"Liberia",1978,6.95
"Libya",1978,7.94
"Lithuania",1978,2.1
"Luxembourg",1978,1.48
"Macao, China",1978,1.49
"Macedonia, FYR",1978,2.63
"Madagascar",1978,6.86
"Malawi",1978,7.61
"Malaysia",1978,3.91
"Maldives",1978,6.95
"Mali",1978,7.02
"Malta",1978,2.1
"Mauritania",1978,6.54
"Mauritius",1978,2.95
"Mexico",1978,5.16
"Micronesia, Fed. Sts.",1978,6.4
"Moldova",1978,2.45
"Mongolia",1978,6.59
"Montenegro",1978,2.35
"Morocco",1978,5.88
"Mozambique",1978,6.52
"Namibia",1978,6.58
"Nepal",1978,5.82
"Netherlands",1978,1.58
"New Caledonia",1978,3.88
"New Zealand",1978,2.19
"Nicaragua",1978,6.33
"Niger",1978,7.65
"Nigeria",1978,6.77
"Norway",1978,1.77
"Oman",1978,8.14
"Pakistan",1978,6.58
"Panama",1978,4.13
"Papua New Guinea",1978,5.84
"Paraguay",1978,5.2
"Peru",1978,5.3
"Philippines",1978,5.4
"Poland",1978,2.28
"Portugal",1978,2.49
"Puerto Rico",1978,2.72
"Qatar",1978,6.08
"Romania",1978,2.51
"Russia",1978,1.9
"Rwanda",1978,8.44
"St. Lucia",1978,5.06
"St. Vincent and the Grenadines",1978,4.34
"Samoa",1978,6.43
"Saudi Arabia",1978,7.28
"Senegal",1978,7.45
"Serbia",1978,2.36
"Seychelles",1978,4.2
"Sierra Leone",1978,7.04
"Singapore",1978,1.83
"Slovak Republic",1978,2.44
"Slovenia",1978,2.14
"Solomon Islands",1978,6.99
"South Africa",1978,4.97
"Spain",1978,2.48
"Sri Lanka",1978,3.56
"Sudan",1978,6.89
"Suriname",1978,4.18
"Swaziland",1978,6.73
"Sweden",1978,1.6
"Switzerland",1978,1.54
"Syria",1978,7.29
"Tajikistan",1978,5.89
"Tanzania",1978,6.71
"Thailand",1978,3.81
"Timor-Leste",1978,4.51
"Togo",1978,7.27
"Tonga",1978,5.51
"Trinidad and Tobago",1978,3.27
"Tunisia",1978,5.61
"Turkey",1978,4.61
"Turkmenistan",1978,5.28
"Uganda",1978,7.1
"Ukraine",1978,1.99
"United Arab Emirates",1978,5.62
"United Kingdom",1978,1.73
"United States",1978,1.75
"Uruguay",1978,2.85
"Uzbekistan",1978,5.48
"Vanuatu",1978,5.72
"Venezuela",1978,4.39
"West Bank and Gaza",1978,7.46
"Vietnam",1978,5.42
"Yemen",1978,8.67
"Zambia",1978,7.33
"Zimbabwe",1978,7.27
"Albania",1979,3.81
"Algeria",1979,7.02
"Angola",1979,7.2
"Antigua and Barbuda",1979,2.16
"Argentina",1979,3.37
"Armenia",1979,2.42
"Aruba",1979,2.41
"Australia",1979,1.91
"Austria",1979,1.6
"Azerbaijan",1979,3.41
"Bahamas",1979,2.99
"Bahrain",1979,5.04
"Bangladesh",1979,6.48
"Barbados",1979,2.06
"Belarus",1979,2.08
"Belgium",1979,1.66
"Belize",1979,5.99
"Benin",1979,7.02
"Bhutan",1979,6.6
"Bolivia",1979,5.63
"Bosnia and Herzegovina",1979,2.14
"Botswana",1979,6.29
"Brazil",1979,4.17
"Brunei",1979,4.43
"Bulgaria",1979,2.14
"Burkina Faso",1979,7.09
"Burundi",1979,7.46
"Cambodia",1979,5.55
"Cameroon",1979,6.56
"Canada",1979,1.7
"Cape Verde",1979,6.47
"Central African Republic",1979,5.95
"Chad",1979,6.93
"Chile",1979,2.72
"China",1979,2.8
"Colombia",1979,4.12
"Comoros",1979,7.13
"Congo, Dem. Rep.",1979,6.54
"Congo, Rep.",1979,6.23
"Costa Rica",1979,3.67
"Cote d'Ivoire",1979,7.7
"Croatia",1979,2.01
"Cuba",1979,1.99
"Cyprus",1979,2.33
"Czech Republic",1979,2.23
"Denmark",1979,1.6
"Djibouti",1979,6.52
"Dominican Republic",1979,4.55
"Ecuador",1979,4.88
"Egypt",1979,5.42
"El Salvador",1979,5.27
"Equatorial Guinea",1979,5.71
"Eritrea",1979,6.63
"Estonia",1979,2.06
"Ethiopia",1979,7.27
"Fiji",1979,3.94
"Finland",1979,1.64
"France",1979,1.85
"French Polynesia",1979,4.08
"Gabon",1979,5.65
"Gambia",1979,6.34
"Georgia",1979,2.34
"Germany",1979,1.48
"Ghana",1979,6.61
"Greece",1979,2.24
"Greenland",1979,2.19
"Grenada",1979,4.27
"Guatemala",1979,6.2
"Guinea",1979,6.5
"Guinea-Bissau",1979,6.28
"Guyana",1979,3.94
"Haiti",1979,5.97
"Honduras",1979,6.43
"Hong Kong, China",1979,2.1
"Hungary",1979,2.03
"Iceland",1979,2.36
"India",1979,4.76
"Indonesia",1979,4.56
"Iran",1979,6.42
"Iraq",1979,6.66
"Ireland",1979,3.11
"Israel",1979,3.35
"Italy",1979,1.81
"Jamaica",1979,3.84
"Japan",1979,1.8
"Jordan",1979,7.33
"Kazakhstan",1979,3
"Kenya",1979,7.54
"Kiribati",1979,5.06
"South Korea",1979,2.69
