"country","year","life_expectancy"
"Libya",1974,63.13
"Lithuania",1974,71.63
"Luxembourg",1974,70.42
"Macao, China",1974,70.61
"Macedonia, FYR",1974,68.14
"Madagascar",1974,50.06
"Malawi",1974,43.41
"Malaysia",1974,66.73
"Maldives",1974,50.82
"Mali",1974,37.61
"Malta",1974,72.78
"Mauritania",1974,51.69
"Mauritius",1974,63.99
"Mexico",1974,63.83
"Micronesia, Fed. Sts.",1974,62.12
"Moldova",1974,65.6
"Mongolia",1974,58.06
"Montenegro",1974,71.78
"Morocco",1974,56.08
"Mozambique",1974,46.46
"Namibia",1974,54.98
"Nepal",1974,46.47
"Netherlands",1974,74.56
"New Caledonia",1974,64.44
"New Zealand",1974,72.03
"Nicaragua",1974,62.28
"Niger",1974,39.25
"Nigeria",1974,48.38
"Norway",1974,74.88
"Oman",1974,57.11
"Pakistan",1974,56.16
"Panama",1974,68.81
"Papua New Guinea",1974,48.9
"Paraguay",1974,70.32
"Peru",1974,58.6
"Philippines",1974,63.1
"Poland",1974,71.46
"Portugal",1974,69.18
"Puerto Rico",1974,72.53
"Qatar",1974,69.98
"Romania",1974,69.58
"Russia",1974,68.88
"Rwanda",1974,46.01
"St. Lucia",1974,64.8
"St. Vincent and the Grenadines",1974,65.82
"Samoa",1974,59.67
"Saudi Arabia",1974,60.48
"Senegal",1974,42.85
"Serbia",1974,69.59
"Seychelles",1974,66.49
"Sierra Leone",1974,47.5
"Singapore",1974,68.88
"Slovak Republic",1974,70.33
"Slovenia",1974,70.09
"Solomon Islands",1974,58.74
"South Africa",1974,54.11
"Spain",1974,73.16
"Sri Lanka",1974,66.36
"Sudan",1974,55.73
"Suriname",1974,65.91
"Swaziland",1974,51.3
"Sweden",1974,74.94
"Switzerland",1974,74.47
"Syria",1974,62.26
"Tajikistan",1974,62.81
"Tanzania",1974,51.65
"Thailand",1974,61.77
"Timor-Leste",1974,43.49
"Togo",1974,50.26
"Tonga",1974,65.69
"Trinidad and Tobago",1974,66.57
"Tunisia",1974,57.75
"Turkey",1974,57.36
"Turkmenistan",1974,60.25
"Uganda",1974,51.45
"Ukraine",1974,70.63
"United Arab Emirates",1974,63.7
"United Kingdom",1974,72.38
"United States",1974,72.08
"Uruguay",1974,69.23
"Uzbekistan",1974,64.64
"Vanuatu",1974,53.89
"Venezuela",1974,67.53
"West Bank and Gaza",1974,61.03
"Vietnam",1974,59.23
"Yemen",1974,45.1
"Zambia",1974,56.24
"Zimbabwe",1974,58.92
"Albania",1975,69.77
"Algeria",1975,55.24
"Angola",1975,44.22
"Antigua and Barbuda",1975,68.99
"Argentina",1975,68.6
"Armenia",1975,72.33
"Aruba",1975,70.83
"Australia",1975,72.81
"Austria",1975,71.28
"Azerbaijan",1975,66.02
"Bahamas",1975,65.74
"Bahrain",1975,66.63
"Bangladesh",1975,47.58
"Barbados",1975,68.17
"Belarus",1975,71.63
"Belgium",1975,71.9
"Belize",1975,67.93
"Benin",1975,46.93
"Bhutan",1975,47.21
"Bolivia",1975,50.19
"Bosnia and Herzegovina",1975,72.71
"Botswana",1975,57.45
"Brazil",1975,61.84
"Brunei",1975,69.32
"Bulgaria",1975,71.11
"Burkina Faso",1975,43
"Burundi",1975,44.02
"Cambodia",1975,21.69
"Cameroon",1975,52.13
"Canada",1975,73.41
"Cape Verde",1975,58.3
"Central African Republic",1975,47.6
"Chad",1975,48.45
"Chile",1975,65.02
"China",1975,60.78
"Colombia",1975,65.04
"Comoros",1975,51.03
"Congo, Dem. Rep.",1975,50.17
"Congo, Rep.",1975,54.2
"Costa Rica",1975,70.12
"Cote d'Ivoire",1975,49.63
"Croatia",1975,69.83
"Cuba",1975,72.18
"Cyprus",1975,73.93
"Czech Republic",1975,70.77
"Denmark",1975,74.24
"Djibouti",1975,54.85
"Dominican Republic",1975,63.75
"Ecuador",1975,61.73
"Egypt",1975,55.17
"El Salvador",1975,58.36
"Equatorial Guinea",1975,42.91
"Eritrea",1975,45.14
"Estonia",1975,70.26
"Ethiopia",1975,38.78
"Fiji",1975,61.21
"Finland",1975,71.89
"France",1975,73.13
"French Polynesia",1975,61.82
"Gabon",1975,49.45
"Gambia",1975,48.56
"Georgia",1975,68.76
"Germany",1975,71.56
"Ghana",1975,51.68
"Greece",1975,72.62
"Greenland",1975,64.31
"Grenada",1975,66.22
"Guatemala",1975,56.82
"Guinea",1975,39.94
"Guinea-Bissau",1975,46.54
"Guyana",1975,61.56
"Haiti",1975,48.9
"Honduras",1975,58.34
"Hong Kong, China",1975,73.49
"Hungary",1975,69.46
"Iceland",1975,75.57
"India",1975,52.25
"Indonesia",1975,56.04
"Iran",1975,57.1
"Iraq",1975,59.19
"Ireland",1975,72.68
"Israel",1975,72.04
"Italy",1975,72.72
"Jamaica",1975,72.29
"Japan",1975,74.38
"Jordan",1975,64.64
"Kazakhstan",1975,64.64
"Kenya",1975,56.89
"Kiribati",1975,51.81
"South Korea",1975,64.26
"Kuwait",1975,71.39
"Kyrgyz Republic",1975,61.6
"Lao",1975,45.85
"Latvia",1975,69.37
"Lebanon",1975,66.54
"Lesotho",1975,51.63
"Liberia",1975,43.68
"Libya",1975,64.06
"Lithuania",1975,71.24
"Luxembourg",1975,70.37
"Macao, China",1975,70.95
"Macedonia, FYR",1975,68.41
"Madagascar",1975,50.59
"Malawi",1975,43.79
"Malaysia",1975,67.13
"Maldives",1975,51.69
"Mali",1975,38.39
"Malta",1975,73.07
"Mauritania",1975,52.19
"Mauritius",1975,64.37
"Mexico",1975,64.39
"Micronesia, Fed. Sts.",1975,62.5
"Moldova",1975,65.6
"Mongolia",1975,58.22
"Montenegro",1975,72.07
"Morocco",1975,56.56
"Mozambique",1975,47.06
"Namibia",1975,55.51
"Nepal",1975,47.05
"Netherlands",1975,74.49
"New Caledonia",1975,64.91
"New Zealand",1975,72.3
"Nicaragua",1975,62.95
"Niger",1975,39.57
"Nigeria",1975,49
"Norway",1975,74.93
"Oman",1975,58.2
"Pakistan",1975,56.68
"Panama",1975,69.35
"Papua New Guinea",1975,49.54
"Paraguay",1975,70.57
"Peru",1975,59.31
"Philippines",1975,63.21
"Poland",1975,70.88
"Portugal",1975,68.9
"Puerto Rico",1975,72.77
"Qatar",1975,70.4
"Romania",1975,69.75
"Russia",1975,68.24
"Rwanda",1975,46.13
"St. Lucia",1975,65.38
"St. Vincent and the Grenadines",1975,65.99
"Samoa",1975,60.26
"Saudi Arabia",1975,61.67
"Senegal",1975,43.94
"Serbia",1975,69.82
"Seychelles",1975,66.9
"Sierra Leone",1975,48.45
"Singapore",1975,69.26
"Slovak Republic",1975,70.45
"Slovenia",1975,70.32
"Solomon Islands",1975,59.33
"South Africa",1975,54.47
"Spain",1975,73.49
"Sri Lanka",1975,66.76
"Sudan",1975,56
"Suriname",1975,66.19
"Swaziland",1975,51.94
"Sweden",1975,74.95
"Switzerland",1975,74.86
"Syria",1975,62.95
"Tajikistan",1975,63.08
"Tanzania",1975,52.19
"Thailand",1975,62.24
"Timor-Leste",1975,42.12
"Togo",1975,50.88
"Tonga",1975,65.93
"Trinidad and Tobago",1975,66.83
"Tunisia",1975,58.9
"Turkey",1975,58.08
"Turkmenistan",1975,60.49
"Uganda",1975,51.55
"Ukraine",1975,69.96
"United Arab Emirates",1975,64.3
"United Kingdom",1975,72.65
"United States",1975,72.68
"Uruguay",1975,69.39
"Uzbekistan",1975,64.87
"Vanuatu",1975,54.46
"Venezuela",1975,67.9
"West Bank and Gaza",1975,61.81
"Vietnam",1975,60.54
"Yemen",1975,46.05
"Zambia",1975,56.7
"Zimbabwe",1975,59.41
"Albania",1976,70.17
"Algeria",1976,56.11
"Angola",1976,44.68
"Antigua and Barbuda",1976,69.32
"Argentina",1976,68.92
"Armenia",1976,72.38
"Aruba",1976,71.14
"Australia",1976,72.84
"Austria",1976,71.77
"Azerbaijan",1976,65.92
"Bahamas",1976,65.96
"Bahrain",1976,67.2
"Bangladesh",1976,48.92
"Barbados",1976,68.53
"Belarus",1976,71.46
"Belgium",1976,72.05
"Belize",1976,68.32
"Benin",1976,47.46
"Bhutan",1976,48.22
"Bolivia",1976,50.93
"Bosnia and Herzegovina",1976,73.24
"Botswana",1976,58.07
"Brazil",1976,62.27
"Brunei",1976,69.67
"Bulgaria",1976,71.44
"Burkina Faso",1976,43.74
"Burundi",1976,44.43
"Cambodia",1976,19.04
"Cameroon",1976,52.74
"Canada",1976,73.84
"Cape Verde",1976,59.16
"Central African Republic",1976,48.36
"Chad",1976,48.89
"Chile",1976,65.75
"China",1976,60.46
"Colombia",1976,65.58
"Comoros",1976,51.46
"Congo, Dem. Rep.",1976,50.49
"Congo, Rep.",1976,54.45
"Costa Rica",1976,70.75
"Cote d'Ivoire",1976,50.37
"Croatia",1976,70
"Cuba",1976,72.59
"Cyprus",1976,74.15
"Czech Republic",1976,70.88
"Denmark",1976,73.91
"Djibouti",1976,55.29
"Dominican Republic",1976,64.25
"Ecuador",1976,62.3
"Egypt",1976,55.93
"El Salvador",1976,58.33
"Equatorial Guinea",1976,43.28
"Eritrea",1976,45.49
"Estonia",1976,69.88
"Ethiopia",1976,42.86
"Fiji",1976,61.5
"Finland",1976,72.04
"France",1976,73.38
"French Polynesia",1976,62.23
"Gabon",1976,50.23
"Gambia",1976,49.58
"Georgia",1976,69
"Germany",1976,72.02
"Ghana",1976,52
"Greece",1976,72.85
"Greenland",1976,64.14
"Grenada",1976,66.52
"Guatemala",1976,57.32
"Guinea",1976,40.47
"Guinea-Bissau",1976,46.77
"Guyana",1976,61.72
"Haiti",1976,49.28
"Honduras",1976,59.15
"Hong Kong, China",1976,73.78
"Hungary",1976,69.75
"Iceland",1976,76.94
"India",1976,52.93
"Indonesia",1976,56.67
"Iran",1976,57.64
"Iraq",1976,59.35
"Ireland",1976,72.81
"Israel",1976,72.33
"Italy",1976,73.07
"Jamaica",1976,72.58
"Japan",1976,74.78
"Jordan",1976,65.28
"Kazakhstan",1976,64.88
"Kenya",1976,57.49
"Kiribati",1976,52.2
"South Korea",1976,64.62
"Kuwait",1976,71.85
"Kyrgyz Republic",1976,61.83
"Lao",1976,46.05
"Latvia",1976,69.48
"Lebanon",1976,66.69
"Lesotho",1976,52.17
"Liberia",1976,44.45
"Libya",1976,64.95
"Lithuania",1976,71.38
"Luxembourg",1976,70.31
"Macao, China",1976,71.29
"Macedonia, FYR",1976,68.61
"Madagascar",1976,51.12
"Malawi",1976,44.16
"Malaysia",1976,67.5
"Maldives",1976,52.59
"Mali",1976,39.18
"Malta",1976,73.36
"Mauritania",1976,52.73
"Mauritius",1976,64.83
"Mexico",1976,64.95
"Micronesia, Fed. Sts.",1976,62.85
"Moldova",1976,65.57
"Mongolia",1976,58.31
"Montenegro",1976,72.33
"Morocco",1976,57.11
"Mozambique",1976,47.61
"Namibia",1976,56.04
"Nepal",1976,47.64
"Netherlands",1976,74.61
"New Caledonia",1976,65.37
"New Zealand",1976,72.5
"Nicaragua",1976,63.59
"Niger",1976,39.97
"Nigeria",1976,49.62
"Norway",1976,75.17
"Oman",1976,59.32
"Pakistan",1976,57.17
"Panama",1976,69.88
"Papua New Guinea",1976,50.21
"Paraguay",1976,70.81
"Peru",1976,59.99
"Philippines",1976,63.32
"Poland",1976,70.88
"Portugal",1976,69.12
"Puerto Rico",1976,72.98
"Qatar",1976,70.79
"Romania",1976,69.87
"Russia",1976,67.98
"Rwanda",1976,46.31
"St. Lucia",1976,65.96
"St. Vincent and the Grenadines",1976,66.16
"Samoa",1976,60.84
"Saudi Arabia",1976,62.83
"Senegal",1976,45.07
"Serbia",1976,70.03
"Seychelles",1976,67.26
"Sierra Leone",1976,49.31
"Singapore",1976,69.62
"Slovak Republic",1976,70.62
"Slovenia",1976,70.51
"Solomon Islands",1976,59.9
"South Africa",1976,54.86
"Spain",1976,73.81
"Sri Lanka",1976,67.17
"Sudan",1976,56.23
"Suriname",1976,66.47
"Swaziland",1976,52.58
"Sweden",1976,74.96
"Switzerland",1976,74.98
"Syria",1976,63.6
"Tajikistan",1976,63.34
"Tanzania",1976,52.71
"Thailand",1976,62.7
"Timor-Leste",1976,40.94
"Togo",1976,51.49
"Tonga",1976,66.16
"Trinidad and Tobago",1976,67.08
"Tunisia",1976,60.03
"Turkey",1976,58.81
"Turkmenistan",1976,60.73
"Uganda",1976,51.65
"Ukraine",1976,70.01
"United Arab Emirates",1976,64.87
"United Kingdom",1976,72.62
"United States",1976,72.99
"Uruguay",1976,69.58
"Uzbekistan",1976,65.11
"Vanuatu",1976,55.05
"Venezuela",1976,68.23
"West Bank and Gaza",1976,62.6
"Vietnam",1976,62.07
"Yemen",1976,47.05
"Zambia",1976,57.07
"Zimbabwe",1976,59.94
"Albania",1977,70.54
"Algeria",1977,57.13
"Angola",1977,45.12
"Antigua and Barbuda",1977,69.64
"Argentina",1977,69.24
"Armenia",1977,72.44
"Aruba",1977,71.44
"Australia",1977,73.45
"Austria",1977,72.12
"Azerbaijan",1977,65.8
"Bahamas",1977,66.16
"Bahrain",1977,67.72
"Bangladesh",1977,50.27
"Barbados",1977,68.87
"Belarus",1977,71.39
"Belgium",1977,72.7
"Belize",1977,68.7
"Benin",1977,47.96
"Bhutan",1977,49.22
"Bolivia",1977,51.73
"Bosnia and Herzegovina",1977,73.71
"Botswana",1977,58.65
"Brazil",1977,62.68
"Brunei",1977,70.01
"Bulgaria",1977,70.88
"Burkina Faso",1977,44.61
"Burundi",1977,44.84
"Cambodia",1977,18.1
"Cameroon",1977,53.36
"Canada",1977,74.13
"Cape Verde",1977,60
"Central African Republic",1977,49.07
"Chad",1977,49.31
"Chile",1977,66.5
"China",1977,61.94
"Colombia",1977,66.17
"Comoros",1977,51.89
"Congo, Dem. Rep.",1977,50.8
"Congo, Rep.",1977,54.71
"Costa Rica",1977,71.38
"Cote d'Ivoire",1977,51.06
"Croatia",1977,70.16
"Cuba",1977,72.96
"Cyprus",1977,74.37
"Czech Republic",1977,70.94
"Denmark",1977,74.82
"Djibouti",1977,55.71
"Dominican Republic",1977,64.73
"Ecuador",1977,62.9
"Egypt",1977,56.69
"El Salvador",1977,58.22
"Equatorial Guinea",1977,43.65
"Eritrea",1977,45.8
"Estonia",1977,70.01
"Ethiopia",1977,42.41
"Fiji",1977,61.8
"Finland",1977,72.56
"France",1977,73.99
"French Polynesia",1977,62.72
"Gabon",1977,51.01
"Gambia",1977,50.6
"Georgia",1977,69.19
"Germany",1977,72.63
"Ghana",1977,52.33
"Greece",1977,73.1
"Greenland",1977,63.96
"Grenada",1977,66.79
"Guatemala",1977,57.78
"Guinea",1977,41.04
"Guinea-Bissau",1977,47.02
"Guyana",1977,61.88
"Haiti",1977,49.63
"Honduras",1977,59.97
"Hong Kong, China",1977,74.06
"Hungary",1977,70.02
"Iceland",1977,76.35
"India",1977,53.56
"Indonesia",1977,57.27
"Iran",1977,57.78
"Iraq",1977,59.26
"Ireland",1977,72.98
"Israel",1977,72.62
"Italy",1977,73.44
"Jamaica",1977,72.89
"Japan",1977,75.35
"Jordan",1977,65.89
"Kazakhstan",1977,65.13
"Kenya",1977,58.1
"Kiribati",1977,52.58
"South Korea",1977,64.95
"Kuwait",1977,72.29
"Kyrgyz Republic",1977,62.05
"Lao",1977,46.26
"Latvia",1977,69.56
"Lebanon",1977,66.83
"Lesotho",1977,52.75
"Liberia",1977,45.21
"Libya",1977,65.81
"Lithuania",1977,71.14
"Luxembourg",1977,71.61
"Macao, China",1977,71.62
"Macedonia, FYR",1977,68.76
"Madagascar",1977,51.63
"Malawi",1977,44.54
"Malaysia",1977,67.86
"Maldives",1977,53.53
"Mali",1977,39.97
"Malta",1977,73.63
"Mauritania",1977,53.29
"Mauritius",1977,65.34
"Mexico",1977,65.51
"Micronesia, Fed. Sts.",1977,63.14
"Moldova",1977,65.52
"Mongolia",1977,58.36
"Montenegro",1977,72.55
"Morocco",1977,57.72
"Mozambique",1977,48.1
"Namibia",1977,56.56
"Nepal",1977,48.28
"Netherlands",1977,75.2
"New Caledonia",1977,65.81
"New Zealand",1977,72.25
"Nicaragua",1977,64.17
"Niger",1977,40.4
"Nigeria",1977,50.24
"Norway",1977,75.51
"Oman",1977,60.45
"Pakistan",1977,57.63
"Panama",1977,70.38
"Papua New Guinea",1977,50.91
"Paraguay",1977,71.04
"Peru",1977,60.63
"Philippines",1977,63.44
"Poland",1977,70.78
"Portugal",1977,70.37
"Puerto Rico",1977,73.15
"Qatar",1977,71.15
"Romania",1977,69.95
"Russia",1977,67.85
"Rwanda",1977,46.54
"St. Lucia",1977,66.54
"St. Vincent and the Grenadines",1977,66.36
"Samoa",1977,61.44
"Saudi Arabia",1977,63.95
"Senegal",1977,46.21
"Serbia",1977,70.21
"Seychelles",1977,67.59
"Sierra Leone",1977,50.11
"Singapore",1977,69.98
"Slovak Republic",1977,70.58
"Slovenia",1977,70.66
"Solomon Islands",1977,60.43
"South Africa",1977,55.3
"Spain",1977,74.32
"Sri Lanka",1977,67.6
"Sudan",1977,56.44
"Suriname",1977,66.76
"Swaziland",1977,53.24
"Sweden",1977,75.39
"Switzerland",1977,75.43
"Syria",1977,64.24
"Tajikistan",1977,63.57
"Tanzania",1977,53.19
"Thailand",1977,63.15
"Timor-Leste",1977,40.25
"Togo",1977,52.09
"Tonga",1977,66.39
"Trinidad and Tobago",1977,67.33
"Tunisia",1977,61.15
"Turkey",1977,59.55
"Turkmenistan",1977,61
"Uganda",1977,51.75
"Ukraine",1977,69.68
"United Arab Emirates",1977,65.41
"United Kingdom",1977,73.11
"United States",1977,73.38
"Uruguay",1977,69.8
"Uzbekistan",1977,65.37
"Vanuatu",1977,55.64
"Venezuela",1977,68.52
"West Bank and Gaza",1977,63.39
"Vietnam",1977,63.58
"Yemen",1977,48.06
"Zambia",1977,57.36
"Zimbabwe",1977,60.53
"Albania",1978,70.86
"Algeria",1978,58.28
"Angola",1978,45.5
"Antigua and Barbuda",1978,69.96
"Argentina",1978,69.57
"Armenia",1978,72.53
"Aruba",1978,71.74
"Australia",1978,73.84
"Austria",1978,72.2
"Azerbaijan",1978,65.68
"Bahamas",1978,66.37
"Bahrain",1978,68.21
"Bangladesh",1978,51.47
"Barbados",1978,69.22
"Belarus",1978,71.23
"Belgium",1978,72.64
"Belize",1978,69.06
"Benin",1978,48.43
"Bhutan",1978,50.21
"Bolivia",1978,52.54
"Bosnia and Herzegovina",1978,74.12
"Botswana",1978,59.21
"Brazil",1978,63.07
"Brunei",1978,70.33
"Bulgaria",1978,71.24
"Burkina Faso",1978,45.56
"Burundi",1978,45.24
"Cambodia",1978,19.55
"Cameroon",1978,53.95
"Canada",1978,74.46
"Cape Verde",1978,60.82
"Central African Republic",1978,49.7
"Chad",1978,49.72
"Chile",1978,67.25
"China",1978,62.15
"Colombia",1978,66.79
"Comoros",1978,52.3
"Congo, Dem. Rep.",1978,51.11
"Congo, Rep.",1978,54.97
"Costa Rica",1978,72
"Cote d'Ivoire",1978,51.7
"Croatia",1978,70.3
"Cuba",1978,73.3
"Cyprus",1978,74.58
"Czech Republic",1978,71.02
"Denmark",1978,74.59
"Djibouti",1978,56.15
"Dominican Republic",1978,65.19
"Ecuador",1978,63.51
"Egypt",1978,57.45
"El Salvador",1978,58.09
"Equatorial Guinea",1978,44.04
"Eritrea",1978,46.09
"Estonia",1978,69.87
"Ethiopia",1978,42.07
"Fiji",1978,62.09
"Finland",1978,73.13
"France",1978,74.12
"French Polynesia",1978,63.28
"Gabon",1978,51.81
"Gambia",1978,51.61
"Georgia",1978,69.31
"Germany",1978,72.6
"Ghana",1978,52.63
"Greece",1978,73.38
"Greenland",1978,63.78
"Grenada",1978,67.07
"Guatemala",1978,58.22
"Guinea",1978,41.63
"Guinea-Bissau",1978,47.27
"Guyana",1978,62.03
"Haiti",1978,49.97
"Honduras",1978,60.8
"Hong Kong, China",1978,74.35
"Hungary",1978,69.56
"Iceland",1978,76.66
"India",1978,54.14
"Indonesia",1978,57.87
"Iran",1978,57.52
"Iraq",1978,58.94
"Ireland",1978,72.98
"Israel",1978,72.9
"Italy",1978,73.78
"Jamaica",1978,73.21
"Japan",1978,75.67
"Jordan",1978,66.46
"Kazakhstan",1978,65.41
"Kenya",1978,58.74
"Kiribati",1978,52.97
"South Korea",1978,65.31
"Kuwait",1978,72.72
"Kyrgyz Republic",1978,62.3
"Lao",1978,46.47
"Latvia",1978,69.45
"Lebanon",1978,66.96
"Lesotho",1978,53.38
"Liberia",1978,45.92
"Libya",1978,66.62
"Lithuania",1978,70.93
"Luxembourg",1978,71.57
"Macao, China",1978,71.94
"Macedonia, FYR",1978,68.88
"Madagascar",1978,52.12
"Malawi",1978,44.92
"Malaysia",1978,68.21
"Maldives",1978,54.51
"Mali",1978,40.79
"Malta",1978,73.92
"Mauritania",1978,53.89
"Mauritius",1978,65.87
"Mexico",1978,66.05
"Micronesia, Fed. Sts.",1978,63.37
"Moldova",1978,65.47
"Mongolia",1978,58.4
"Montenegro",1978,72.75
"Morocco",1978,58.39
"Mozambique",1978,48.52
"Namibia",1978,57.07
"Nepal",1978,48.94
"Netherlands",1978,75.11
"New Caledonia",1978,66.25
"New Zealand",1978,73.14
"Nicaragua",1978,64.73
"Niger",1978,40.9
"Nigeria",1978,50.84
"Norway",1978,75.54
"Oman",1978,61.57
"Pakistan",1978,58.05
"Panama",1978,70.85
"Papua New Guinea",1978,51.65
"Paraguay",1978,71.28
"Peru",1978,61.28
"Philippines",1978,63.6
"Poland",1978,70.71
"Portugal",1978,70.83
"Puerto Rico",1978,73.28
"Qatar",1978,71.49
"Romania",1978,70.01
"Russia",1978,67.89
"Rwanda",1978,46.81
"St. Lucia",1978,67.1
"St. Vincent and the Grenadines",1978,66.61
"Samoa",1978,62.02
"Saudi Arabia",1978,65.01
"Senegal",1978,47.33
"Serbia",1978,70.37
"Seychelles",1978,67.89
"Sierra Leone",1978,50.83
"Singapore",1978,70.34
"Slovak Republic",1978,70.59
"Slovenia",1978,70.77
"Solomon Islands",1978,60.89
"South Africa",1978,55.77
"Spain",1978,74.51
"Sri Lanka",1978,68.06
"Sudan",1978,56.63
"Suriname",1978,67.07
"Swaziland",1978,53.92
"Sweden",1978,75.48
"Switzerland",1978,75.39
"Syria",1978,64.84
"Tajikistan",1978,63.81
"Tanzania",1978,53.61
"Thailand",1978,63.62
"Timor-Leste",1978,40.27
"Togo",1978,52.7
"Tonga",1978,66.61
"Trinidad and Tobago",1978,67.54
"Tunisia",1978,62.27
"Turkey",1978,60.29
"Turkmenistan",1978,61.28
"Uganda",1978,51.83
"Ukraine",1978,69.63
"United Arab Emirates",1978,65.93
"United Kingdom",1978,73.04
"United States",1978,73.58
"Uruguay",1978,70.05
"Uzbekistan",1978,65.64
"Vanuatu",1978,56.24
"Venezuela",1978,68.79
"West Bank and Gaza",1978,64.18
"Vietnam",1978,64.86
"Yemen",1978,49.08
"Zambia",1978,57.57
"Zimbabwe",1978,61.17
"Albania",1979,71.14
"Algeria",1979,59.56
"Angola",1979,45.84
"Antigua and Barbuda",1979,70.28
"Argentina",1979,69.89
"Armenia",1979,72.63
"Aruba",1979,72.02
"Australia",1979,74.4
"Austria",1979,72.51
"Azerbaijan",1979,65.6
"Bahamas",1979,66.57
"Bahrain",1979,68.67
"Bangladesh",1979,52.44
"Barbados",1979,69.57
"Belarus",1979,70.82
"Belgium",1979,73.13
"Belize",1979,69.43
"Benin",1979,48.88
"Bhutan",1979,51.18
"Bolivia",1979,53.38
"Bosnia and Herzegovina",1979,74.48
"Botswana",1979,59.74
"Brazil",1979,63.45
"Brunei",1979,70.65
"Bulgaria",1979,71.34
"Burkina Faso",1979,46.58
"Burundi",1979,45.6
"Cambodia",1979,21.91
"Cameroon",1979,54.52
"Canada",1979,74.81
"Cape Verde",1979,61.62
"Central African Republic",1979,50.21
"Chad",1979,50.14
"Chile",1979,67.99
"China",1979,62.95
"Colombia",1979,67.43
"Comoros",1979,52.72
"Congo, Dem. Rep.",1979,51.43
"Congo, Rep.",1979,55.22
"Costa Rica",1979,72.62
"Cote d'Ivoire",1979,52.31
"Croatia",1979,70.42
"Cuba",1979,73.59
"Cyprus",1979,74.79
"Czech Republic",1979,71.13
"Denmark",1979,74.41
"Djibouti",1979,56.61
"Dominican Republic",1979,65.65
"Ecuador",1979,64.16
"Egypt",1979,58.16
"El Salvador",1979,57.98
"Equatorial Guinea",1979,44.44
"Eritrea",1979,46.38
"Estonia",1979,69.66
"Ethiopia",1979,42.74
"Fiji",1979,62.37
"Finland",1979,73.42
"France",1979,74.43
"French Polynesia",1979,63.9
"Gabon",1979,52.61
"Gambia",1979,52.62
"Georgia",1979,69.37
"Germany",1979,72.96
"Ghana",1979,52.95
"Greece",1979,73.68
"Greenland",1979,63.61
"Grenada",1979,67.33
"Guatemala",1979,58.66
"Guinea",1979,42.25
"Guinea-Bissau",1979,47.54
"Guyana",1979,62.18
"Haiti",1979,50.3
"Honduras",1979,61.65
"Hong Kong, China",1979,74.64
"Hungary",1979,69.77
"Iceland",1979,76.88
"India",1979,54.65
"Indonesia",1979,58.45
"Iran",1979,56.95
"Iraq",1979,58.44
"Ireland",1979,73.28
"Israel",1979,73.19
"Italy",1979,74.11
"Jamaica",1979,73.52
"Japan",1979,76.18
"Jordan",1979,67
"Kazakhstan",1979,65.71
"Kenya",1979,59.36
"Kiribati",1979,53.36
"South Korea",1979,65.7
"Kuwait",1979,73.14
"Kyrgyz Republic",1979,62.57
"Lao",1979,46.69
"Latvia",1979,68.93
"Lebanon",1979,67.08
"Lesotho",1979,54.01
"Liberia",1979,46.57
"Libya",1979,67.4
"Lithuania",1979,70.8
"Luxembourg",1979,72.25
"Macao, China",1979,72.26
"Macedonia, FYR",1979,68.98
"Madagascar",1979,52.58
"Malawi",1979,45.31
"Malaysia",1979,68.56
"Maldives",1979,55.53
"Mali",1979,41.61
"Malta",1979,74.19
"Mauritania",1979,54.51
"Mauritius",1979,66.41
"Mexico",1979,66.58
"Micronesia, Fed. Sts.",1979,63.53
"Moldova",1979,65.41
"Mongolia",1979,58.46
"Montenegro",1979,72.95
"Morocco",1979,59.13
"Mozambique",1979,48.88
"Namibia",1979,57.57
"Nepal",1979,49.63
"Netherlands",1979,75.59
"New Caledonia",1979,66.68
"New Zealand",1979,73.18
"Nicaragua",1979,65.28
"Niger",1979,41.44
"Nigeria",1979,51.42
"Norway",1979,75.54
"Oman",1979,62.65
"Pakistan",1979,58.44
"Panama",1979,71.3
"Papua New Guinea",1979,52.4
"Paraguay",1979,71.51
"Peru",1979,61.93
"Philippines",1979,63.81
"Poland",1979,71.05
"Portugal",1979,71.64
"Puerto Rico",1979,73.38
"Qatar",1979,71.83
"Romania",1979,70.06
"Russia",1979,67.61
"Rwanda",1979,47.12
"St. Lucia",1979,67.64
"St. Vincent and the Grenadines",1979,66.88
"Samoa",1979,62.62
"Saudi Arabia",1979,66.03
"Senegal",1979,48.4
"Serbia",1979,70.53
"Seychelles",1979,68.16
"Sierra Leone",1979,51.49
"Singapore",1979,70.68
"Slovak Republic",1979,70.92
"Slovenia",1979,70.85
"Solomon Islands",1979,61.27
"South Africa",1979,56.29
"Spain",1979,75.05
"Sri Lanka",1979,68.52
"Sudan",1979,56.8
"Suriname",1979,67.39
"Swaziland",1979,54.62
"Sweden",1979,75.52
"Switzerland",1979,75.69
"Syria",1979,65.44
"Tajikistan",1979,64.04
"Tanzania",1979,53.98
"Thailand",1979,64.1
"Timor-Leste",1979,41.01
"Togo",1979,53.29
"Tonga",1979,66.84
"Trinidad and Tobago",1979,67.73
"Tunisia",1979,63.36
"Turkey",1979,61.03
"Turkmenistan",1979,61.58
"Uganda",1979,51.93
"Ukraine",1979,69.36
"United Arab Emirates",1979,66.43
"United Kingdom",1979,73.14
"United States",1979,74.03
"Uruguay",1979,70.32
