"country","year","population"
"Hong Kong, China",1975,4355301
"Hungary",1975,10541344
"Iceland",1975,217958
"India",1975,621703641
"Indonesia",1975,130724118
"Iran",1975,32730555
"Iraq",1975,11684585
"Ireland",1975,3180805
"Israel",1975,3336760
"Italy",1975,55268549
"Jamaica",1975,2017830
"Japan",1975,110804519
"Jordan",1975,1985121
"Kazakhstan",1975,14136006
"Kenya",1975,13486241
"Kiribati",1975,55169
"South Korea",1975,34713078
"Kuwait",1975,1051187
"Kyrgyz Republic",1975,3299001
"Lao",1975,3047864
"Latvia",1975,2457027
"Lebanon",1975,2575693
"Lesotho",1975,1149090
"Liberia",1975,1628656
"Libya",1975,2621730
"Lithuania",1975,3299819
"Luxembourg",1975,353984
"Macao, China",1975,248213
"Macedonia, FYR",1975,1803009
"Madagascar",1975,7575757
"Malawi",1975,5292816
"Malaysia",1975,12311782
"Maldives",1975,136434
"Mali",1975,6482276
"Malta",1975,307597
"Mauritania",1975,1328687
"Mauritius",1975,892208
"Mexico",1975,60872399
"Micronesia, Fed. Sts.",1975,63146
"Moldova",1975,3838911
"Mongolia",1975,1479650
"Montenegro",1975,554262
"Morocco",1975,17854614
"Mozambique",1975,10405000
"Namibia",1975,905647
"Nepal",1975,13313487
"Netherlands",1975,13611064
"New Caledonia",1975,128216
"New Zealand",1975,3082883
"Nicaragua",1975,2796748
"Niger",1975,5171029
"Nigeria",1975,63565598
"Norway",1975,4006221
"Oman",1975,882044
"Pakistan",1975,66791496
"Panama",1975,1745207
"Papua New Guinea",1975,2809692
"Paraguay",1975,2790964
"Peru",1975,15229951
"Philippines",1975,41295129
"Poland",1975,34168112
"Portugal",1975,9185876
"Puerto Rico",1975,2931932
"Qatar",1975,164333
"Romania",1975,21665780
"Russia",1975,133788113
"Rwanda",1975,4359166
"St. Lucia",1975,109770
"St. Vincent and the Grenadines",1975,95614
"Samoa",1975,151383
"Saudi Arabia",1975,7428705
"Senegal",1975,4900491
"Serbia",1975,8497168
"Seychelles",1975,59589
"Sierra Leone",1975,2765914
"Singapore",1975,2262393
"Slovak Republic",1975,4744482
"Slovenia",1975,1742626
"Solomon Islands",1975,193447
"South Africa",1975,25698856
"Spain",1975,35909042
"Sri Lanka",1975,13755990
"Sudan",1975,12075841
"Suriname",1975,362651
"Swaziland",1975,517100
"Sweden",1975,8192693
"Switzerland",1975,6356178
"Syria",1975,7564000
"Tajikistan",1975,3412819
"Tanzania",1975,15980265
"Thailand",1975,42334954
"Timor-Leste",1975,661634
"Togo",1975,2410446
"Tonga",1975,88347
"Trinidad and Tobago",1975,1011487
"Tunisia",1975,5652478
"Turkey",1975,39185637
"Turkmenistan",1975,2520002
"Uganda",1975,10827071
"Ukraine",1975,48758986
"United Arab Emirates",1975,531265
"United Kingdom",1975,56179925
"United States",1975,218963561
"Uruguay",1975,2830172
"Uzbekistan",1975,13980997
"Vanuatu",1975,99879
"Venezuela",1975,13360988
"West Bank and Gaza",1975,1321677
"Vietnam",1975,48729397
"Yemen",1975,6793979
"Zambia",1975,4983017
"Zimbabwe",1975,6170284
"Albania",1976,2464338
"Algeria",1976,17190236
"Angola",1976,7299508
"Antigua and Barbuda",1976,69782
"Argentina",1976,26477153
"Armenia",1976,2882831
"Aruba",1976,60589
"Australia",1976,14054956
"Austria",1976,7630536
"Azerbaijan",1976,5789050
"Bahamas",1976,192905
"Bahrain",1976,283843
"Bangladesh",1976,72930206
"Barbados",1976,247444
"Belarus",1976,9423421
"Belgium",1976,9787576
"Belize",1976,135145
"Benin",1976,3345501
"Bhutan",1976,361862
"Bolivia",1976,5119833
"Bosnia and Herzegovina",1976,4008411
"Botswana",1976,853860
"Brazil",1976,111076063
"Brunei",1976,167283
"Bulgaria",1976,8761231
"Burkina Faso",1976,6274037
"Burundi",1976,3744696
"Cambodia",1976,7431505
"Cameroon",1976,7959500
"Canada",1976,23439940
"Cape Verde",1976,273625
"Central African Republic",1976,2061552
"Chad",1976,4173070
"Chile",1976,10584237
"China",1976,921688199
"Colombia",1976,25323412
"Comoros",1976,265234
"Congo, Dem. Rep.",1976,23556784
"Congo, Rep.",1976,1603446
"Costa Rica",1976,2151492
"Cote d'Ivoire",1976,6916302
"Croatia",1976,4518103
"Cuba",1976,9544268
"Cyprus",1976,657526
"Czech Republic",1976,10122450
"Denmark",1976,5079962
"Djibouti",1976,248619
"Dominican Republic",1976,5280727
"Ecuador",1976,7179399
"Egypt",1976,39478585
"El Salvador",1976,4239205
"Equatorial Guinea",1976,228491
"Eritrea",1976,2128597
"Estonia",1976,1433207
"Ethiopia",1976,33144537
"Fiji",1976,587523
"Finland",1976,4726803
"France",1976,53293030
"French Polynesia",1976,134743
"Gabon",1976,663774
"Gambia",1976,536409
"Georgia",1976,4942018
"Germany",1976,78604473
"Ghana",1976,10023471
"Greece",1976,9132531
"Greenland",1976,49784
"Grenada",1976,91435
"Guatemala",1976,6408029
"Guinea",1976,4376768
"Guinea-Bissau",1976,791959
"Guyana",1976,751008
"Haiti",1976,5238242
"Honduras",1976,3204883
"Hong Kong, China",1976,4485813
"Hungary",1976,10593989
"Iceland",1976,220162
"India",1976,636182810
"Indonesia",1976,134010695
"Iran",1976,33739231
"Iraq",1976,12068195
"Ireland",1976,3234153
"Israel",1976,3427662
"Italy",1976,55539118
"Jamaica",1976,2043097
"Japan",1976,111992858
"Jordan",1976,2039114
"Kazakhstan",1976,14304946
"Kenya",1976,13995974
"Kiribati",1976,55980
"South Korea",1976,35290737
"Kuwait",1976,1115463
"Kyrgyz Republic",1976,3362961
"Lao",1976,3094940
"Latvia",1976,2470263
"Lebanon",1976,2598362
"Lesotho",1976,1177975
"Liberia",1976,1676016
"Libya",1976,2730373
"Lithuania",1976,3328245
"Luxembourg",1976,356563
"Macao, China",1976,245915
"Macedonia, FYR",1976,1825554
"Madagascar",1976,7799642
"Malawi",1976,5454839
"Malaysia",1976,12599655
"Maldives",1976,140582
"Mali",1976,6596817
"Malta",1976,309328
"Mauritania",1976,1367640
"Mauritius",1976,906926
"Mexico",1976,62620087
"Micronesia, Fed. Sts.",1976,64386
"Moldova",1976,3876947
"Mongolia",1976,1520865
"Montenegro",1976,560424
"Morocco",1976,18262366
"Mozambique",1976,10693688
"Namibia",1976,928228
"Nepal",1976,13608670
"Netherlands",1976,13722272
"New Caledonia",1976,131758
"New Zealand",1976,3108745
"Nicaragua",1976,2884156
"Niger",1976,5320869
"Nigeria",1976,65426976
"Norway",1976,4025297
"Oman",1976,927439
"Pakistan",1976,68818471
"Panama",1976,1791459
"Papua New Guinea",1976,2888509
"Paraguay",1976,2861582
"Peru",1976,15639898
"Philippines",1976,42461189
"Poland",1976,34468877
"Portugal",1976,9314301
"Puerto Rico",1976,2983630
"Qatar",1976,173759
"Romania",1976,21877548
"Russia",1976,134583945
"Rwanda",1976,4499720
"St. Lucia",1976,111211
"St. Vincent and the Grenadines",1976,96639
"Samoa",1976,152390
"Saudi Arabia",1976,7845300
"Senegal",1976,5031849
"Serbia",1976,8579631
"Seychelles",1976,61058
"Sierra Leone",1976,2824827
"Singapore",1976,2291621
"Slovak Republic",1976,4793633
"Slovenia",1976,1759725
"Solomon Islands",1976,200642
"South Africa",1976,26354140
"Spain",1976,36302392
"Sri Lanka",1976,14013610
"Sudan",1976,12506035
"Suriname",1976,361368
"Swaziland",1976,533264
"Sweden",1976,8218630
"Switzerland",1976,6355245
"Syria",1976,7822610
"Tajikistan",1976,3511050
"Tanzania",1976,16493435
"Thailand",1976,43386846
"Timor-Leste",1976,650490
"Togo",1976,2464457
"Tonga",1976,89258
"Trinidad and Tobago",1976,1025655
"Tunisia",1976,5781793
"Turkey",1976,40100696
"Turkmenistan",1976,2587417
"Uganda",1976,11139772
"Ukraine",1976,49036202
"United Arab Emirates",1976,622051
"United Kingdom",1976,56212943
"United States",1976,220993166
"Uruguay",1976,2841436
"Uzbekistan",1976,14374729
"Vanuatu",1976,103024
"Venezuela",1976,13739142
"West Bank and Gaza",1976,1361612
"Vietnam",1976,49808071
"Yemen",1976,6994840
"Zambia",1976,5160570
"Zimbabwe",1976,6373956
"Albania",1977,2517869
"Algeria",1977,17690184
"Angola",1977,7501320
"Antigua and Barbuda",1977,70223
"Argentina",1977,26878567
"Armenia",1977,2938181
"Aruba",1977,60366
"Australia",1977,14211657
"Austria",1977,7625724
"Azerbaijan",1977,5882395
"Bahamas",1977,197118
"Bahrain",1977,303236
"Bangladesh",1977,74848466
"Barbados",1977,248785
"Belarus",1977,9479262
"Belgium",1977,9806885
"Belize",1977,136991
"Benin",1977,3432262
"Bhutan",1977,374801
"Bolivia",1977,5233677
"Bosnia and Herzegovina",1977,4041623
"Botswana",1977,887793
"Brazil",1977,113776467
"Brunei",1977,173826
"Bulgaria",1977,8790072
"Burkina Faso",1977,6398937
"Burundi",1977,3825484
"Cambodia",1977,7222050
"Cameroon",1977,8187840
"Canada",1977,23723801
"Cape Verde",1977,275479
"Central African Republic",1977,2108417
"Chad",1977,4254770
"Chile",1977,10746328
"China",1977,936554514
"Colombia",1977,25905124
"Comoros",1977,275496
"Congo, Dem. Rep.",1977,24242643
"Congo, Rep.",1977,1651134
"Costa Rica",1977,2207727
"Cote d'Ivoire",1977,7237451
"Croatia",1977,4536198
"Cuba",1977,9634677
"Cyprus",1977,665528
"Czech Republic",1977,10188839
"Denmark",1977,5095956
"Djibouti",1977,277622
"Dominican Republic",1977,5411867
"Ecuador",1977,7374235
"Egypt",1977,40377668
"El Salvador",1977,4328817
"Equatorial Guinea",1977,220352
"Eritrea",1977,2188806
"Estonia",1977,1443926
"Ethiopia",1977,33614153
"Fiji",1977,598258
"Finland",1977,4738949
"France",1977,53509578
"French Polynesia",1977,138867
"Gabon",1977,678786
"Gambia",1977,551823
"Georgia",1977,4973542
"Germany",1977,78524727
"Ghana",1977,10189889
"Greece",1977,9255749
"Greenland",1977,49848
"Grenada",1977,90187
"Guatemala",1977,6579710
"Guinea",1977,4393551
"Guinea-Bissau",1977,805481
"Guyana",1977,762445
"Haiti",1977,5341418
"Honduras",1977,3306988
"Hong Kong, China",1977,4633329
"Hungary",1977,10650975
"Iceland",1977,222142
"India",1977,650907559
"Indonesia",1977,137322122
"Iran",1977,34814231
"Iraq",1977,12460997
"Ireland",1977,3287620
"Israel",1977,3513516
"Italy",1977,55775934
"Jamaica",1977,2066247
"Japan",1977,113067848
"Jordan",1977,2091716
"Kazakhstan",1977,14461278
"Kenya",1977,14527187
"Kiribati",1977,56815
"South Korea",1977,35832213
"Kuwait",1977,1180939
"Kyrgyz Republic",1977,3426646
"Lao",1977,3131492
"Latvia",1977,2481660
"Lebanon",1977,2606224
"Lesotho",1977,1208836
"Liberia",1977,1724313
"Libya",1977,2840378
"Lithuania",1977,3355098
"Luxembourg",1977,358961
"Macao, China",1977,243729
"Macedonia, FYR",1977,1851068
"Madagascar",1977,8031589
"Malawi",1977,5627788
"Malaysia",1977,12891715
"Maldives",1977,144645
"Mali",1977,6712545
"Malta",1977,311455
"Mauritania",1977,1407621
"Mauritius",1977,922325
"Mexico",1977,64337694
"Micronesia, Fed. Sts.",1977,66110
"Moldova",1977,3910636
"Mongolia",1977,1562212
"Montenegro",1977,565509
"Morocco",1977,18688782
"Mozambique",1977,11001909
"Namibia",1977,949734
"Nepal",1977,13913775
"Netherlands",1977,13827329
"New Caledonia",1977,134710
"New Zealand",1977,3122551
"Nicaragua",1977,2973805
"Niger",1977,5476206
"Nigeria",1977,67425435
"Norway",1977,4041789
"Oman",1977,977806
"Pakistan",1977,70953777
"Panama",1977,1837887
"Papua New Guinea",1977,2967620
"Paraguay",1977,2935375
"Peru",1977,16061327
"Philippines",1977,43650333
"Poland",1977,34779313
"Portugal",1977,9441167
"Puerto Rico",1977,3036799
"Qatar",1977,182370
"Romania",1977,22083933
"Russia",1977,135406786
"Rwanda",1977,4648070
"St. Lucia",1977,112826
"St. Vincent and the Grenadines",1977,97649
"Samoa",1977,153244
"Saudi Arabia",1977,8295384
"Senegal",1977,5160313
"Serbia",1977,8663327
"Seychelles",1977,62500
"Sierra Leone",1977,2886607
"Singapore",1977,2317796
"Slovak Republic",1977,4844392
"Slovenia",1977,1777316
"Solomon Islands",1977,207942
"South Africa",1977,27009755
"Spain",1977,36687352
"Sri Lanka",1977,14274023
"Sudan",1977,12958110
"Suriname",1977,361053
"Swaziland",1977,550135
"Sweden",1977,8245975
"Switzerland",1977,6341216
"Syria",1977,8088148
"Tajikistan",1977,3608761
"Tanzania",1977,17018013
"Thailand",1977,44416007
"Timor-Leste",1977,630151
"Togo",1977,2518566
"Tonga",1977,90296
"Trinidad and Tobago",1977,1039757
"Tunisia",1977,5915006
"Turkey",1977,41020211
"Turkmenistan",1977,2655036
"Uganda",1977,11470741
"Ukraine",1977,49290087
"United Arab Emirates",1977,722849
"United Kingdom",1977,56224944
"United States",1977,223090871
"Uruguay",1977,2857107
"Uzbekistan",1977,14762133
"Vanuatu",1977,106223
"Venezuela",1977,14127790
"West Bank and Gaza",1977,1398295
"Vietnam",1977,50899504
"Yemen",1977,7226885
"Zambia",1977,5343550
"Zimbabwe",1977,6580739
"Albania",1978,2571845
"Algeria",1978,18212331
"Angola",1978,7717139
"Antigua and Barbuda",1978,70508
"Argentina",1978,27277742
"Armenia",1978,2991954
"Aruba",1978,60106
"Australia",1978,14368543
"Austria",1978,7616309
"Azerbaijan",1978,5975045
"Bahamas",1978,201511
"Bahrain",1978,323511
"Bangladesh",1978,76948378
"Barbados",1978,250035
"Belarus",1978,9535069
"Belgium",1978,9825779
"Belize",1978,138972
"Benin",1978,3523270
"Bhutan",1978,387731
"Bolivia",1978,5350320
"Bosnia and Herzegovina",1978,4073480
"Botswana",1978,923305
"Brazil",1978,116532153
"Brunei",1978,180357
"Bulgaria",1978,8815565
"Burkina Faso",1978,6530820
"Burundi",1978,3917866
"Cambodia",1978,6982522
"Cameroon",1978,8425707
"Canada",1978,23994948
"Cape Verde",1978,278152
"Central African Republic",1978,2158844
"Chad",1978,4336389
"Chile",1978,10907901
"China",1978,950537317
"Colombia",1978,26502172
"Comoros",1978,286583
"Congo, Dem. Rep.",1978,24948113
"Congo, Rep.",1978,1699781
"Costa Rica",1978,2266153
"Cote d'Ivoire",1978,7569558
"Croatia",1978,4555413
"Cuba",1978,9711393
"Cyprus",1978,673252
"Czech Republic",1978,10251436
"Denmark",1978,5108836
"Djibouti",1978,308213
"Dominican Republic",1978,5543520
"Ecuador",1978,7571953
"Egypt",1978,41324806
"El Salvador",1978,4415625
"Equatorial Guinea",1978,215284
"Eritrea",1978,2251129
"Estonia",1978,1454309
"Ethiopia",1978,34053431
"Fiji",1978,609348
"Finland",1978,4749940
"France",1978,53685486
"French Polynesia",1978,143033
"Gabon",1978,694734
"Gambia",1978,567828
"Georgia",1978,5004521
"Germany",1978,78426715
"Ghana",1978,10354490
"Greece",1978,9388188
"Greenland",1978,49864
"Grenada",1978,89070
"Guatemala",1978,6754258
"Guinea",1978,4416074
"Guinea-Bissau",1978,819371
"Guyana",1978,773227
"Haiti",1978,5450550
"Honduras",1978,3413426
"Hong Kong, China",1978,4786580
"Hungary",1978,10704187
"Iceland",1978,224019
"India",1978,665936435
"Indonesia",1978,140665859
"Iran",1978,35977589
"Iraq",1978,12859226
"Ireland",1978,3339499
"Israel",1978,3594470
"Italy",1978,55983298
"Jamaica",1978,2089015
"Japan",1978,114054587
"Jordan",1978,2146662
"Kazakhstan",1978,14610810
"Kenya",1978,15081598
"Kiribati",1978,57664
"South Korea",1978,36356187
"Kuwait",1978,1247597
"Kyrgyz Republic",1978,3491143
"Lao",1978,3164146
"Latvia",1978,2491980
"Lebanon",1978,2604875
"Lesotho",1978,1241159
"Liberia",1978,1775200
"Libya",1978,2952877
"Lithuania",1978,3380879
"Luxembourg",1978,361078
"Macao, China",1978,242458
"Macedonia, FYR",1978,1877687
"Madagascar",1978,8268902
"Malawi",1978,5807170
"Malaysia",1978,13191699
"Maldives",1978,148797
"Mali",1978,6831530
"Malta",1978,313953
"Mauritania",1978,1448664
"Mauritius",1978,937820
"Mexico",1978,66025613
"Micronesia, Fed. Sts.",1978,68221
"Moldova",1978,3942141
"Mongolia",1978,1603908
"Montenegro",1978,570062
"Morocco",1978,19133462
"Mozambique",1978,11320103
"Namibia",1978,970569
"Nepal",1978,14228941
"Netherlands",1978,13925970
"New Caledonia",1978,137223
"New Zealand",1978,3129098
"Nicaragua",1978,3065118
"Niger",1978,5635954
"Nigeria",1978,69512233
"Norway",1978,4056280
"Oman",1978,1032799
"Pakistan",1978,73204087
"Panama",1978,1884512
"Papua New Guinea",1978,3047769
"Paraguay",1978,3012833
"Peru",1978,16491087
"Philippines",1978,44866279
"Poland",1978,35100942
"Portugal",1978,9560753
"Puerto Rico",1978,3089805
"Qatar",1978,192018
"Romania",1978,22279485
"Russia",1978,136259517
"Rwanda",1978,4804375
"St. Lucia",1978,114551
"St. Vincent and the Grenadines",1978,98634
"Samoa",1978,154010
"Saudi Arabia",1978,8785326
"Senegal",1978,5289445
"Serbia",1978,8746982
"Seychelles",1978,63880
"Sierra Leone",1978,2951001
"Singapore",1978,2344224
"Slovak Republic",1978,4895130
"Slovenia",1978,1795649
"Solomon Islands",1978,215353
"South Africa",1978,27674446
"Spain",1978,37055640
"Sri Lanka",1978,14534087
"Sudan",1978,13429688
"Suriname",1978,361463
"Swaziland",1978,567560
"Sweden",1978,8272499
"Switzerland",1978,6321583
"Syria",1978,8363346
"Tajikistan",1978,3707624
"Tanzania",1978,17556148
"Thailand",1978,45423442
"Timor-Leste",1978,606295
"Togo",1978,2576468
"Tonga",1978,91360
"Trinidad and Tobago",1978,1054109
"Tunisia",1978,6054914
"Turkey",1978,41953105
"Turkmenistan",1978,2723006
"Uganda",1978,11817951
"Ukraine",1978,49525597
"United Arab Emirates",1978,827394
"United Kingdom",1978,56223974
"United States",1978,225239456
"Uruguay",1978,2875970
"Uzbekistan",1978,15148932
"Vanuatu",1978,109429
"Venezuela",1978,14525929
"West Bank and Gaza",1978,1433382
"Vietnam",1978,52015279
"Yemen",1978,7485921
"Zambia",1978,5532350
"Zimbabwe",1978,6796946
"Albania",1979,2626290
"Algeria",1979,18760761
"Angola",1979,7952882
"Antigua and Barbuda",1979,70553
"Argentina",1979,27684530
"Armenia",1979,3044564
"Aruba",1979,59978
"Australia",1979,14532401
"Austria",1979,7605888
"Azerbaijan",1979,6068531
"Bahamas",1979,206038
"Bahrain",1979,342829
"Bangladesh",1979,79141947
"Barbados",1979,251176
"Belarus",1979,9593007
"Belgium",1979,9842453
"Belize",1979,141308
"Benin",1979,3618509
"Bhutan",1979,400378
"Bolivia",1979,5469123
"Bosnia and Herzegovina",1979,4107135
"Botswana",1979,959666
"Brazil",1979,119341444
"Brunei",1979,186786
"Bulgaria",1979,8840131
"Burkina Faso",1979,6671659
"Burundi",1979,4018927
"Cambodia",1979,6795102
"Cameroon",1979,8673666
"Canada",1979,24257594
"Cape Verde",1979,281555
"Central African Republic",1979,2213888
"Chad",1979,4421448
"Chile",1979,11070198
"China",1979,964155176
"Colombia",1979,27113510
"Comoros",1979,297765
"Congo, Dem. Rep.",1979,25656486
"Congo, Rep.",1979,1749859
"Costa Rica",1979,2326708
"Cote d'Ivoire",1979,7912390
"Croatia",1979,4576030
"Cuba",1979,9777287
"Cyprus",1979,680013
"Czech Republic",1979,10302778
"Denmark",1979,5118065
"Djibouti",1979,336254
"Dominican Republic",1979,5675930
"Ecuador",1979,7772652
"Egypt",1979,42321740
"El Salvador",1979,4498757
"Equatorial Guinea",1979,215014
"Eritrea",1979,2316054
"Estonia",1979,1464468
"Ethiopia",1979,34569428
"Fiji",1979,621541
"Finland",1979,4762758
"France",1979,53857610
"French Polynesia",1979,147299
"Gabon",1979,711544
"Gambia",1979,585155
"Georgia",1979,5037237
"Germany",1979,78305017
"Ghana",1979,10550770
"Greece",1979,9513594
"Greenland",1979,49947
"Grenada",1979,88571
"Guatemala",1979,6933492
"Guinea",1979,4451872
"Guinea-Bissau",1979,834068
"Guyana",1979,781677
"Haiti",1979,5566265
"Honduras",1979,3523283
"Hong Kong, China",1979,4930298
"Hungary",1979,10742694
"Iceland",1979,225972
"India",1979,681358553
"Indonesia",1979,144053516
"Iran",1979,37256771
"Iraq",1979,13257910
"Ireland",1979,3387822
"Israel",1979,3671264
"Italy",1979,56168376
"Jamaica",1979,2113880
"Japan",1979,114993274
"Jordan",1979,2208562
"Kazakhstan",1979,14761509
"Kenya",1979,15661414
"Kiribati",1979,58509
"South Korea",1979,36889651
"Kuwait",1979,1315428
"Kyrgyz Republic",1979,3557793
"Lao",1979,3202270
"Latvia",1979,2502294
"Lebanon",1979,2602573
"Lesotho",1979,1274216
"Liberia",1979,1830963
"Libya",1979,3069540
"Lithuania",1979,3406311
"Luxembourg",1979,362791
"Macao, China",1979,243073
"Macedonia, FYR",1979,1902718
"Madagascar",1979,8507958
"Malawi",1979,5986639
"Malaysia",1979,13504433
"Maldives",1979,153285
"Mali",1979,6956779
"Malta",1979,316781
"Mauritania",1979,1490811
"Mauritius",1979,952587
"Mexico",1979,67688533
"Micronesia, Fed. Sts.",1979,70550
"Moldova",1979,3974506
"Mongolia",1979,1646291
"Montenegro",1979,574953
"Morocco",1979,19595092
"Mozambique",1979,11635174
"Namibia",1979,991365
"Nepal",1979,14554356
"Netherlands",1979,14017909
"New Caledonia",1979,139545
"New Zealand",1979,3135453
"Nicaragua",1979,3157356
"Niger",1979,5798584
"Nigeria",1979,71619216
"Norway",1979,4069626
"Oman",1979,1091855
"Pakistan",1979,75575981
"Panama",1979,1931393
"Papua New Guinea",1979,3130125
"Paraguay",1979,3094479
"Peru",1979,16924758
"Philippines",1979,46113992
"Poland",1979,35435627
"Portugal",1979,9667021
"Puerto Rico",1979,3140600
"Qatar",1979,205244
"Romania",1979,22457125
"Russia",1979,137144808
"Rwanda",1979,4968628
"St. Lucia",1979,116292
"St. Vincent and the Grenadines",1979,99589
"Samoa",1979,154763
"Saudi Arabia",1979,9323290
"Senegal",1979,5424299
"Serbia",1979,8829038
"Seychelles",1979,65153
"Sierra Leone",1979,3017670
"Singapore",1979,2375417
"Slovak Republic",1979,4943732
"Slovenia",1979,1815101
"Solomon Islands",1979,222905
"South Africa",1979,28360820
"Spain",1979,37397232
"Sri Lanka",1979,14789300
"Sudan",1979,13917268
"Suriname",1979,362137
"Swaziland",1979,585335
"Sweden",1979,8294832
"Switzerland",1979,6306578
"Syria",1979,8651904
"Tajikistan",1979,3809991
"Tanzania",1979,18110990
"Thailand",1979,46412310
"Timor-Leste",1979,586886
"Togo",1979,2642845
"Tonga",1979,92299
"Trinidad and Tobago",1979,1069199
"Tunisia",1979,6205210
"Turkey",1979,42912350
"Turkmenistan",1979,2791575
"Uganda",1979,12177677
"Ukraine",1979,49750150
"United Arab Emirates",1979,927303
"United Kingdom",1979,56220089
"United States",1979,227411604
"Uruguay",1979,2896021
"Uzbekistan",1979,15543520
"Vanuatu",1979,112579
"Venezuela",1979,14931741
"West Bank and Gaza",1979,1469730
"Vietnam",1979,53169674
"Yemen",1979,7765087
"Zambia",1979,5727577
"Zimbabwe",1979,7031159
"Albania",1980,2681245
"Algeria",1980,19337723
"Angola",1980,8211950
"Antigua and Barbuda",1980,70301
"Argentina",1980,28105889
"Armenia",1980,3096298
"Aruba",1980,60096
"Australia",1980,14708323
"Austria",1980,7597269
"Azerbaijan",1980,6163990
"Bahamas",1980,210660
"Bahrain",1980,359902
"Bangladesh",1980,81364176
"Barbados",1980,252197
"Belarus",1980,9654455
"Belgium",1980,9855747
"Belize",1980,144151
"Benin",1980,3718024
"Bhutan",1980,412561
"Bolivia",1980,5589572
"Bosnia and Herzegovina",1980,4144726
"Botswana",1980,996331
"Brazil",1980,122199721
"Brunei",1980,193057
"Bulgaria",1980,8865235
"Burkina Faso",1980,6822840
"Burundi",1980,4126544
"Cambodia",1980,6718241
"Cameroon",1980,8932121
"Canada",1980,24515788
"Cape Verde",1980,285599
"Central African Republic",1980,2274095
"Chad",1980,4512795
"Chile",1980,11234340
"China",1980,977837433
"Colombia",1980,27737905
"Comoros",1980,308518
"Congo, Dem. Rep.",1980,26357407
"Congo, Rep.",1980,1801688
"Costa Rica",1980,2389309
"Cote d'Ivoire",1980,8265549
"Croatia",1980,4598126
"Cuba",1980,9835177
"Cyprus",1980,685406
"Czech Republic",1980,10337827
"Denmark",1980,5123435
"Djibouti",1980,358960
"Dominican Republic",1980,5809271
"Ecuador",1980,7976449
"Egypt",1980,43369552
"El Salvador",1980,4577683
"Equatorial Guinea",1980,220605
"Eritrea",1980,2383858
"Estonia",1980,1474487
"Ethiopia",1980,35239974
"Fiji",1980,635256
"Finland",1980,4779454
"France",1980,54053224
"French Polynesia",1980,151702
"Gabon",1980,729165
"Gambia",1980,604371
"Georgia",1980,5073241
"Germany",1980,78159527
"Ghana",1980,10802025
"Greece",1980,9620274
"Greenland",1980,50176
"Grenada",1980,89004
"Guatemala",1980,7118628
"Guinea",1980,4506559
"Guinea-Bissau",1980,849886
"Guyana",1980,786614
"Haiti",1980,5688832
"Honduras",1980,3635862
"Hong Kong, China",1980,5053684
"Hungary",1980,10759022
"Iceland",1980,228127
"India",1980,697229745
"Indonesia",1980,147490366
"Iran",1980,38668222
"Iraq",1980,13653358
"Ireland",1980,3431078
"Israel",1980,3744667
"Italy",1980,56336446
"Jamaica",1980,2142438
"Japan",1980,115912104
"Jordan",1980,2280670
"Kazakhstan",1980,14918991
"Kenya",1980,16267906
"Kiribati",1980,59340
"South Korea",1980,37451085
"Kuwait",1980,1384342
"Kyrgyz Republic",1980,3627499
"Lao",1980,3252701
"Latvia",1980,2513397
"Lebanon",1980,2605294
"Lesotho",1980,1307403
"Liberia",1980,1892529
"Libya",1980,3191304
"Lithuania",1980,3431933
"Luxembourg",1980,364044
"Macao, China",1980,246236
"Macedonia, FYR",1980,1924194
"Madagascar",1980,8746516
"Malawi",1980,6163225
"Malaysia",1980,13833739
"Maldives",1980,158282
"Mali",1980,7090125
"Malta",1980,319898
"Mauritania",1980,1534085
"Mauritius",1980,966036
"Mexico",1980,69330974
"Micronesia, Fed. Sts.",1980,72967
"Moldova",1980,4009843
"Mongolia",1980,1689622
"Montenegro",1980,580755
"Morocco",1980,20071902
"Mozambique",1980,11936379
"Namibia",1980,1012761
"Nepal",1980,14890080
"Netherlands",1980,14103279
"New Caledonia",1980,141866
"New Zealand",1980,3146771
"Nicaragua",1980,3249910
"Niger",1980,5963159
"Nigeria",1980,73698096
"Norway",1980,4082525
"Oman",1980,1154375
"Pakistan",1980,78071984
"Panama",1980,1978575
"Papua New Guinea",1980,3215483
"Paraguay",1980,3180628
"Peru",1980,17359118
"Philippines",1980,47396966
"Poland",1980,35782855
"Portugal",1980,9755635
"Puerto Rico",1980,3187704
"Qatar",1980,223715
"Romania",1980,22612149
"Russia",1980,138063062
"Rwanda",1980,5140786
"St. Lucia",1980,117984
"St. Vincent and the Grenadines",1980,100506
"Samoa",1980,155554
"Saudi Arabia",1980,9912917
"Senegal",1980,5568651
"Serbia",1980,8908293
"Seychelles",1980,66292
"Sierra Leone",1980,3086406
"Singapore",1980,2414524
"Slovak Republic",1980,4988654
"Slovenia",1980,1835839
"Solomon Islands",1980,230614
"South Africa",1980,29077143
"Spain",1980,37704867
"Sri Lanka",1980,15036562
"Sudan",1980,14418063
"Suriname",1980,362777
"Swaziland",1980,603373
"Sweden",1980,8310915
"Switzerland",1980,6303608
"Syria",1980,8956156
"Tajikistan",1980,3917642
"Tanzania",1980,18684893
"Thailand",1980,47385325
"Timor-Leste",1980,577580
"Togo",1980,2720838
"Tonga",1980,93007
"Trinidad and Tobago",1980,1085308
"Tunisia",1980,6368169
"Turkey",1980,43905790
"Turkmenistan",1980,2861000
